id,source_id,target_id,type,weight,status,summary,command
rel:batch:2026-05-25:HAS_ARTIFACT:artifact:2026-05-25:plotly,batch:2026-05-25,artifact:2026-05-25:plotly,HAS_ARTIFACT,1,,Batch writes the interactive Plotly review artifact.,
rel:batch:2026-05-25:HAS_CANDIDATE:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,batch:2026-05-25,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,HAS_CANDIDATE,3,alert,Inbox batch produced this synthesized event candidate.,
rel:trend:rates-bonds-and-inflation-expectations:SYNTHESIZES:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,trend:rates-bonds-and-inflation-expectations,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,SYNTHESIZES,3,alert,Trend cluster synthesizes into this candidate.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:MAPS_TO_SCENARIO:scenario:fertilizer-shortage,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,scenario:fertilizer-shortage,MAPS_TO_SCENARIO,2,alert,Candidate maps to an existing seeded event-research scenario.,node run.mjs pull event-research --scenario fertilizer-shortage --dry-run
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:MAPS_TO_SCENARIO:scenario:hormuz-oil-shock,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,scenario:hormuz-oil-shock,MAPS_TO_SCENARIO,2,alert,Candidate maps to an existing seeded event-research scenario.,node run.mjs pull event-research --scenario hormuz-oil-shock --dry-run
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:MAPS_TO_SCENARIO:scenario:glp1-supply-chain-shortage,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,scenario:glp1-supply-chain-shortage,MAPS_TO_SCENARIO,2,alert,Candidate maps to an existing seeded event-research scenario.,node run.mjs pull event-research --scenario glp1-supply-chain-shortage --dry-run
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:ROUTES_TO:route:02-strategy-development-watchpoints,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,route:02-strategy-development-watchpoints,ROUTES_TO,1,alert,Human review should route the candidate here if accepted.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUMMARIZES_SOURCE:source:10-themes-fed-speeches-and-fomc-communications-transcript-shelia-bair-former-fdic-chair-md,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,source:10-themes-fed-speeches-and-fomc-communications-transcript-shelia-bair-former-fdic-chair-md,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUMMARIZES_SOURCE:source:10-themes-fed-speeches-and-fomc-communications-us-market-call-fomo-vs-femo-fabulous-earnings-mom,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,source:10-themes-fed-speeches-and-fomc-communications-us-market-call-fomo-vs-femo-fabulous-earnings-mom,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUMMARIZES_SOURCE:source:10-themes-geopolitics-and-capital-flows-kushner-disappoints-mideast-clients-who-spent-millions-s,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,source:10-themes-geopolitics-and-capital-flows-kushner-disappoints-mideast-clients-who-spent-millions-s,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
