id:ID,asOfDate,canonicalName,dataType,date,domain,label,name,nodeType,obsidianUrl,relativePath,sourceFolder,sourcePath,sourceVault,source_folder,source_path,source_rel_path,source_url,source_vault,status,subdomain,tags,vault,:LABEL
world:sector:accommodation-and-food-services,2026-06-01,Accommodation and Food Services,sector-report,2026-05-12,Entities,Accommodation and Food Services,Accommodation and Food Services,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FAccommodation%20and%20Food%20Services.md,Entities/Sectors/Accommodation and Food Services.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Accommodation and Food Services.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Accommodation and Food Services.md,Entities/Sectors/Accommodation and Food Services.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FAccommodation%20and%20Food%20Services.md,World_Machine,inbox,Sectors,"[""inbox"",""sector-report"",""ibisworld"",""hospitality"",""restaurants"",""consumer""]",World_Machine,Entity;Sector
world:sector:aerospace-defense,2026-06-01,Aerospace & Defense,,,Entities,Aerospace & Defense,Aerospace & Defense,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FAerospace%20%26%20Defense.md,Entities/Sectors/Aerospace & Defense.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Aerospace & Defense.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Aerospace & Defense.md,Entities/Sectors/Aerospace & Defense.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FAerospace%20%26%20Defense.md,World_Machine,Active,Sectors,"[""sector"",""defense"",""drones"",""aerospace""]",World_Machine,Sector
world:sector:agriculture-forestry-fishing-and-hunting,2026-06-01,Agriculture Forestry Fishing and Hunting,sector-report,2026-05-12,Entities,Agriculture Forestry Fishing and Hunting,Agriculture Forestry Fishing and Hunting,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FAgriculture%20Forestry%20Fishing%20and%20Hunting.md,Entities/Sectors/Agriculture Forestry Fishing and Hunting.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Agriculture Forestry Fishing and Hunting.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Agriculture Forestry Fishing and Hunting.md,Entities/Sectors/Agriculture Forestry Fishing and Hunting.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FAgriculture%20Forestry%20Fishing%20and%20Hunting.md,World_Machine,inbox,Sectors,"[""inbox"",""sector-report"",""ibisworld"",""agriculture"",""commodities""]",World_Machine,Entity;Sector
world:sector:arts-entertainment-and-recreation,2026-06-01,Arts Entertainment and Recreation,sector-report,2026-05-12,Entities,Arts Entertainment and Recreation,Arts Entertainment and Recreation,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FArts%20Entertainment%20and%20Recreation.md,Entities/Sectors/Arts Entertainment and Recreation.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Arts Entertainment and Recreation.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Arts Entertainment and Recreation.md,Entities/Sectors/Arts Entertainment and Recreation.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FArts%20Entertainment%20and%20Recreation.md,World_Machine,inbox,Sectors,"[""inbox"",""sector-report"",""ibisworld"",""entertainment"",""recreation"",""consumer""]",World_Machine,Entity;Sector
world:sector:communication-services,2026-06-01,Communication Services,,,Entities,Communication Services,Communication Services,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FCommunication%20Services.md,Entities/Sectors/Communication Services.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Communication Services.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Communication Services.md,Entities/Sectors/Communication Services.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FCommunication%20Services.md,World_Machine,Active,Sectors,"[""sector""]",World_Machine,Sector
world:sector:construction,2026-06-01,Construction,sector-report,2026-05-12,Entities,Construction,Construction,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FConstruction.md,Entities/Sectors/Construction.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Construction.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Construction.md,Entities/Sectors/Construction.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FConstruction.md,World_Machine,inbox,Sectors,"[""inbox"",""sector-report"",""ibisworld"",""construction"",""rates"",""infrastructure""]",World_Machine,Entity;Sector
world:sector:consumer-discretionary,2026-06-01,Consumer Discretionary,,,Entities,Consumer Discretionary,Consumer Discretionary,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FConsumer%20Discretionary.md,Entities/Sectors/Consumer Discretionary.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Consumer Discretionary.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Consumer Discretionary.md,Entities/Sectors/Consumer Discretionary.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FConsumer%20Discretionary.md,World_Machine,Active,Sectors,"[""sector""]",World_Machine,Sector
world:sector:consumer-staples,2026-06-01,Consumer Staples,,,Entities,Consumer Staples,Consumer Staples,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FConsumer%20Staples.md,Entities/Sectors/Consumer Staples.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Consumer Staples.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Consumer Staples.md,Entities/Sectors/Consumer Staples.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FConsumer%20Staples.md,World_Machine,Active,Sectors,"[""sector""]",World_Machine,Sector
world:sector:defense,2026-06-01,defense,,,Entities,defense,defense,sector,,,,,,,,,,,,,[],,Entity;Sector
world:sector:educational-services,2026-06-01,Educational Services,sector-report,2026-05-12,Entities,Educational Services,Educational Services,sector,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FEducational%20Services.md,Entities/Sectors/Educational Services.md,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Educational Services.md,World_Machine,Entities,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Educational Services.md,Entities/Sectors/Educational Services.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FEducational%20Services.md,World_Machine,inbox,Sectors,"[""inbox"",""sector-report"",""ibisworld"",""education"",""policy"",""labor""]",World_Machine,Entity;Sector
