id:ID,importedAt,label,matched_item_ids,matched_terms,name,read,related_scenarios,score,source,:LABEL
world:event-trend:2026-06-02:rates-bonds-and-inflation-expectations,2026-06-02T15:08:08.614000000Z,"Rates, Bonds, And Inflation Expectations","[""world:inbox-item:2026-06-02:e182c2c44db392d8"",""world:inbox-item:2026-06-02:6f7d78e8907fe219"",""world:inbox-item:2026-06-02:336c13e5b7628293"",""world:inbox-item:2026-06-02:f50924adfcd43fd7""]","[""cpi"",""fed"",""inflation"",""rates""]",,"Rates and inflation clips connect to duration risk, housing affordability, consumer pressure, and commodity shock pass-through.","[""fertilizer-shortage"",""hormuz-oil-shock"",""glp1-supply-chain-shortage""]",19,ingest-world-inbox,EventTrend
world:event-trend:2026-06-02:healthcare-pricing-and-policy-pressure,2026-06-02T15:08:08.614000000Z,Healthcare Pricing And Policy Pressure,"[""world:inbox-item:2026-06-02:e182c2c44db392d8"",""world:inbox-item:2026-06-02:6f7d78e8907fe219"",""world:inbox-item:2026-06-02:f50924adfcd43fd7""]","[""medical"",""prices""]",,"Healthcare price pressure links CPI, payer politics, hospital margins, drug access, and policy risk.","[""glp1-supply-chain-shortage""]",12,ingest-world-inbox,EventTrend
world:event-trend:2026-06-02:power-grid-and-industrial-capex,2026-06-02T15:08:08.614000000Z,"Power, Grid, And Industrial Capex","[""world:inbox-item:2026-06-02:e182c2c44db392d8"",""world:inbox-item:2026-06-02:6f7d78e8907fe219""]","[""data center"",""electricity"",""grid""]",,"Power-demand clips connect AI load growth, grid equipment, copper, utilities, and industrial capex bottlenecks.","[""ai-data-center-power-bottleneck"",""copper-supply-bottleneck""]",11,ingest-world-inbox,EventTrend
world:event-trend:2026-06-02:policy-legal-and-liability-friction,2026-06-02T15:08:08.614000000Z,"Policy, Legal, And Liability Friction","[""world:inbox-item:2026-06-02:e182c2c44db392d8"",""world:inbox-item:2026-06-02:336c13e5b7628293""]","[""policy"",""regulation""]",,"Legal and regulatory changes can alter transport, insurance, margin, and operating-risk assumptions before fundamentals reflect them.","[""hormuz-oil-shock"",""fertilizer-shortage""]",10,ingest-world-inbox,EventTrend
world:event-trend:2026-06-02:market-structure-vs-fundamentals,2026-06-02T15:08:08.614000000Z,Market Structure Vs Fundamentals,"[""world:inbox-item:2026-06-02:e182c2c44db392d8""]","[""rally""]",,"Flow, positioning, and risk-regime evidence should be checked against earnings and macro fundamentals before upgrading conviction.","[""ai-data-center-power-bottleneck"",""copper-supply-bottleneck""]",6,ingest-world-inbox,EventTrend
world:event-trend:2026-06-02:geopolitics-and-capital-access,2026-06-02T15:08:08.614000000Z,Geopolitics And Capital Access,"[""world:inbox-item:2026-06-02:f50924adfcd43fd7""]","[""iran""]",,"Geopolitical capital-flow stories can become funding, energy, tourism, defense, or sanction-risk transmission channels.","[""hormuz-oil-shock""]",5,ingest-world-inbox,EventTrend
world:event-trend:2026-06-02:socioeconomic-narrative-risk,2026-06-02T15:08:08.614000000Z,Socioeconomic Narrative Risk,"[""world:inbox-item:2026-06-02:6f7d78e8907fe219""]","[""consumer"",""labor""]",,"Narrative and distributional stress is a regime context input; treat it as a catalyst amplifier until confirmed by policy, spending, or market data.",[],5,ingest-world-inbox,EventTrend
world:event-trend:2026-06-02:23a56500bbff911f:71b8dda4d0e437e5,2026-06-02T16:51:51.404000000Z,"Rates, Bonds, And Inflation Expectations",,"[""bond"",""cpi"",""duration"",""fed"",""inflation"",""inflation expectations"",""rates"",""yield"",""yields""]","Rates, Bonds, And Inflation Expectations","Rates and inflation clips connect to duration risk, housing affordability, consumer pressure, and commodity shock pass-through.","[""fertilizer-shortage"",""hormuz-oil-shock"",""glp1-supply-chain-shortage""]",66,ingest-world-inbox,EventTrend
world:event-trend:2026-06-02:23a56500bbff911f:6b585733335bbc3a,2026-06-02T16:51:51.404000000Z,Socioeconomic Narrative Risk,,"[""consumer"",""inequality"",""labor"",""narrative"",""political"",""wealth""]",Socioeconomic Narrative Risk,"Narrative and distributional stress is a regime context input; treat it as a catalyst amplifier until confirmed by policy, spending, or market data.",[],63,ingest-world-inbox,EventTrend
world:event-trend:2026-06-02:23a56500bbff911f:3427d547732913c7,2026-06-02T16:51:51.404000000Z,"Policy, Legal, And Liability Friction",,"[""broker"",""court"",""policy"",""regulation"",""regulatory""]","Policy, Legal, And Liability Friction","Legal and regulatory changes can alter transport, insurance, margin, and operating-risk assumptions before fundamentals reflect them.","[""hormuz-oil-shock"",""fertilizer-shortage""]",46,ingest-world-inbox,EventTrend
world:event-trend:2026-06-02:23a56500bbff911f:1ce68b25f99d8f24,2026-06-02T16:51:51.404000000Z,Healthcare Pricing And Policy Pressure,,"[""consumer prices"",""healthcare"",""prices""]",Healthcare Pricing And Policy Pressure,"Healthcare price pressure links CPI, payer politics, hospital margins, drug access, and policy risk.","[""glp1-supply-chain-shortage""]",43,ingest-world-inbox,EventTrend
world:event-trend:2026-06-02:23a56500bbff911f:3b794f2d1b3ed728,2026-06-02T16:51:51.404000000Z,"Power, Grid, And Industrial Capex",,"[""data center"",""electricity"",""generation"",""grid"",""transformer""]","Power, Grid, And Industrial Capex","Power-demand clips connect AI load growth, grid equipment, copper, utilities, and industrial capex bottlenecks.","[""ai-data-center-power-bottleneck"",""copper-supply-bottleneck""]",40,ingest-world-inbox,EventTrend
world:event-trend:2026-06-02:23a56500bbff911f:eb17c4b4e0e0a225,2026-06-02T16:51:51.404000000Z,Market Structure Vs Fundamentals,,"[""gamma"",""rally"",""volatility""]",Market Structure Vs Fundamentals,"Flow, positioning, and risk-regime evidence should be checked against earnings and macro fundamentals before upgrading conviction.","[""ai-data-center-power-bottleneck"",""copper-supply-bottleneck""]",29,ingest-world-inbox,EventTrend
world:event-trend:2026-06-02:23a56500bbff911f:775692a67f475d2d,2026-06-02T16:51:51.404000000Z,Geopolitics And Capital Access,,"[""capital flows"",""iran"",""middle east""]",Geopolitics And Capital Access,"Geopolitical capital-flow stories can become funding, energy, tourism, defense, or sanction-risk transmission channels.","[""hormuz-oil-shock""]",22,ingest-world-inbox,EventTrend
