:START_ID,:END_ID,:TYPE
world:inbox-ingestion-batch:2026-06-02,world:event-trend:2026-06-02:rates-bonds-and-inflation-expectations,IDENTIFIED_TREND
world:inbox-ingestion-batch:2026-06-02:23a56500bbff911f,world:event-trend:2026-06-02:23a56500bbff911f:71b8dda4d0e437e5,IDENTIFIED_TREND
world:inbox-ingestion-batch:2026-06-02,world:event-trend:2026-06-02:healthcare-pricing-and-policy-pressure,IDENTIFIED_TREND
world:inbox-ingestion-batch:2026-06-02:23a56500bbff911f,world:event-trend:2026-06-02:23a56500bbff911f:6b585733335bbc3a,IDENTIFIED_TREND
world:inbox-ingestion-batch:2026-06-02,world:event-trend:2026-06-02:power-grid-and-industrial-capex,IDENTIFIED_TREND
world:inbox-ingestion-batch:2026-06-02:23a56500bbff911f,world:event-trend:2026-06-02:23a56500bbff911f:3427d547732913c7,IDENTIFIED_TREND
world:inbox-ingestion-batch:2026-06-02,world:event-trend:2026-06-02:policy-legal-and-liability-friction,IDENTIFIED_TREND
world:inbox-ingestion-batch:2026-06-02:23a56500bbff911f,world:event-trend:2026-06-02:23a56500bbff911f:1ce68b25f99d8f24,IDENTIFIED_TREND
world:inbox-ingestion-batch:2026-06-02,world:event-trend:2026-06-02:market-structure-vs-fundamentals,IDENTIFIED_TREND
world:inbox-ingestion-batch:2026-06-02:23a56500bbff911f,world:event-trend:2026-06-02:23a56500bbff911f:3b794f2d1b3ed728,IDENTIFIED_TREND
world:inbox-ingestion-batch:2026-06-02,world:event-trend:2026-06-02:geopolitics-and-capital-access,IDENTIFIED_TREND
world:inbox-ingestion-batch:2026-06-02:23a56500bbff911f,world:event-trend:2026-06-02:23a56500bbff911f:eb17c4b4e0e0a225,IDENTIFIED_TREND
world:inbox-ingestion-batch:2026-06-02,world:event-trend:2026-06-02:socioeconomic-narrative-risk,IDENTIFIED_TREND
world:inbox-ingestion-batch:2026-06-02:23a56500bbff911f,world:event-trend:2026-06-02:23a56500bbff911f:775692a67f475d2d,IDENTIFIED_TREND
