id:ID,asOfDate,canonicalName,dataType,domain,jurisdiction,label,lastUpdated,name,nodeType,obsidianUrl,relativePath,sector,sourceFolder,sourcePath,sourceVault,source_folder,source_path,source_rel_path,source_url,source_vault,status,subdomain,tags,vault,:LABEL
world:bill:ca-ab-412-generative-ai-training-data-copyrighted-materials,2026-06-01,CA AB 412 - Generative AI training data copyrighted materials,bill,Policy,state-CA,CA AB 412 - Generative AI training data copyrighted materials,,CA AB 412 - Generative AI training data copyrighted materials,bill,obsidian://open?vault=World_Machine&file=Policy%2FBills%2FState%2FCA%2FCA%20AB%20412%20-%20Generative%20AI%20training%20data%20copyrighted%20materials.md,Policy/Bills/State/CA/CA AB 412 - Generative AI training data copyrighted materials.md,tech,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Bills\State\CA\CA AB 412 - Generative AI training data copyrighted materials.md,World_Machine,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Bills\State\CA\CA AB 412 - Generative AI training data copyrighted materials.md,Policy/Bills/State/CA/CA AB 412 - Generative AI training data copyrighted materials.md,obsidian://open?vault=World_Machine&file=Policy%2FBills%2FState%2FCA%2FCA%20AB%20412%20-%20Generative%20AI%20training%20data%20copyrighted%20materials.md,World_Machine,committee,Bills,"[""bill"",""state-ca"",""tech""]",World_Machine,PolicyAction;Bill
world:bill:ca-ab-736-affordable-housing-bond-act-of-2026,2026-06-01,CA AB 736 - Affordable Housing Bond Act of 2026,bill,Policy,state-CA,CA AB 736 - Affordable Housing Bond Act of 2026,,CA AB 736 - Affordable Housing Bond Act of 2026,bill,obsidian://open?vault=World_Machine&file=Policy%2FBills%2FState%2FCA%2FCA%20AB%20736%20-%20Affordable%20Housing%20Bond%20Act%20of%202026.md,Policy/Bills/State/CA/CA AB 736 - Affordable Housing Bond Act of 2026.md,housing,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Bills\State\CA\CA AB 736 - Affordable Housing Bond Act of 2026.md,World_Machine,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Bills\State\CA\CA AB 736 - Affordable Housing Bond Act of 2026.md,Policy/Bills/State/CA/CA AB 736 - Affordable Housing Bond Act of 2026.md,obsidian://open?vault=World_Machine&file=Policy%2FBills%2FState%2FCA%2FCA%20AB%20736%20-%20Affordable%20Housing%20Bond%20Act%20of%202026.md,World_Machine,committee,Bills,"[""bill"",""state-ca"",""housing""]",World_Machine,PolicyAction;Bill
world:bill:ca-sb-903-mental-health-ai,2026-06-01,CA SB 903 - Mental Health AI,bill,Policy,state-CA,CA SB 903 - Mental Health AI,,CA SB 903 - Mental Health AI,bill,obsidian://open?vault=World_Machine&file=Policy%2FBills%2FState%2FCA%2FCA%20SB%20903%20-%20Mental%20Health%20AI.md,Policy/Bills/State/CA/CA SB 903 - Mental Health AI.md,tech,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Bills\State\CA\CA SB 903 - Mental Health AI.md,World_Machine,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Bills\State\CA\CA SB 903 - Mental Health AI.md,Policy/Bills/State/CA/CA SB 903 - Mental Health AI.md,obsidian://open?vault=World_Machine&file=Policy%2FBills%2FState%2FCA%2FCA%20SB%20903%20-%20Mental%20Health%20AI.md,World_Machine,committee,Bills,"[""bill"",""state-ca"",""tech""]",World_Machine,PolicyAction;Bill
world:bill:digital-asset-market-clarity-act-of-2025,2026-06-01,Digital Asset Market Clarity Act of 2025,bill,Policy,,Digital Asset Market Clarity Act of 2025,2026-05-14,Digital Asset Market Clarity Act of 2025,bill,obsidian://open?vault=World_Machine&file=Policy%2FBills%2FDigital%20Asset%20Market%20Clarity%20Act%20of%202025.md,Policy/Bills/Digital Asset Market Clarity Act of 2025.md,,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Bills\Digital Asset Market Clarity Act of 2025.md,World_Machine,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Bills\Digital Asset Market Clarity Act of 2025.md,Policy/Bills/Digital Asset Market Clarity Act of 2025.md,obsidian://open?vault=World_Machine&file=Policy%2FBills%2FDigital%20Asset%20Market%20Clarity%20Act%20of%202025.md,World_Machine,senate-banking-advanced,Bills,"[""policy"",""crypto"",""digital-assets"",""clarity-act"",""sec"",""cftc"",""stablecoins"",""cbdc""]",World_Machine,PolicyAction;Bill
world:bill:hr-8479-protecting-consumers-from-deceptive-ai-act,2026-06-01,HR-8479 - Protecting Consumers from Deceptive AI Act,bill,Policy,federal,HR-8479 - Protecting Consumers from Deceptive AI Act,,HR-8479 - Protecting Consumers from Deceptive AI Act,bill,obsidian://open?vault=World_Machine&file=Policy%2FBills%2FFederal%2FHR-8479%20-%20Protecting%20Consumers%20from%20Deceptive%20AI%20Act.md,Policy/Bills/Federal/HR-8479 - Protecting Consumers from Deceptive AI Act.md,tech,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Bills\Federal\HR-8479 - Protecting Consumers from Deceptive AI Act.md,World_Machine,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Bills\Federal\HR-8479 - Protecting Consumers from Deceptive AI Act.md,Policy/Bills/Federal/HR-8479 - Protecting Consumers from Deceptive AI Act.md,obsidian://open?vault=World_Machine&file=Policy%2FBills%2FFederal%2FHR-8479%20-%20Protecting%20Consumers%20from%20Deceptive%20AI%20Act.md,World_Machine,committee,Bills,"[""bill"",""federal"",""tech""]",World_Machine,PolicyAction;Bill
world:bill:s-4424-ndaa-fy2021-higher-ed-institutional-prohibition,2026-06-01,S-4424 - NDAA FY2021 Higher Ed Institutional Prohibition,bill,Policy,federal,S-4424 - NDAA FY2021 Higher Ed Institutional Prohibition,,S-4424 - NDAA FY2021 Higher Ed Institutional Prohibition,bill,obsidian://open?vault=World_Machine&file=Policy%2FBills%2FFederal%2FS-4424%20-%20NDAA%20FY2021%20Higher%20Ed%20Institutional%20Prohibition.md,Policy/Bills/Federal/S-4424 - NDAA FY2021 Higher Ed Institutional Prohibition.md,defense,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Bills\Federal\S-4424 - NDAA FY2021 Higher Ed Institutional Prohibition.md,World_Machine,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Bills\Federal\S-4424 - NDAA FY2021 Higher Ed Institutional Prohibition.md,Policy/Bills/Federal/S-4424 - NDAA FY2021 Higher Ed Institutional Prohibition.md,obsidian://open?vault=World_Machine&file=Policy%2FBills%2FFederal%2FS-4424%20-%20NDAA%20FY2021%20Higher%20Ed%20Institutional%20Prohibition.md,World_Machine,committee,Bills,"[""bill"",""federal"",""defense""]",World_Machine,PolicyAction;Bill
world:bill:s-4459-expanding-appalachia-s-broadband-access-act,2026-06-01,S-4459 - Expanding Appalachia's Broadband Access Act,bill,Policy,federal,S-4459 - Expanding Appalachia's Broadband Access Act,,S-4459 - Expanding Appalachia's Broadband Access Act,bill,obsidian://open?vault=World_Machine&file=Policy%2FBills%2FFederal%2FS-4459%20-%20Expanding%20Appalachia's%20Broadband%20Access%20Act.md,Policy/Bills/Federal/S-4459 - Expanding Appalachia's Broadband Access Act.md,tech,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Bills\Federal\S-4459 - Expanding Appalachia's Broadband Access Act.md,World_Machine,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Bills\Federal\S-4459 - Expanding Appalachia's Broadband Access Act.md,Policy/Bills/Federal/S-4459 - Expanding Appalachia's Broadband Access Act.md,obsidian://open?vault=World_Machine&file=Policy%2FBills%2FFederal%2FS-4459%20-%20Expanding%20Appalachia's%20Broadband%20Access%20Act.md,World_Machine,committee,Bills,"[""bill"",""federal"",""tech""]",World_Machine,PolicyAction;Bill
world:bill:template-bill,2026-06-01,_TEMPLATE - Bill,bill,Policy,{{jurisdiction: federal|state-NY|state-IL|state-TX|state-FL|state-CA}},_TEMPLATE - Bill,,_TEMPLATE - Bill,bill,obsidian://open?vault=World_Machine&file=Policy%2FBills%2F_TEMPLATE%20-%20Bill.md,Policy/Bills/_TEMPLATE - Bill.md,{{sectors: housing|defense|tech}},Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Bills\_TEMPLATE - Bill.md,World_Machine,Policy,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Bills\_TEMPLATE - Bill.md,Policy/Bills/_TEMPLATE - Bill.md,obsidian://open?vault=World_Machine&file=Policy%2FBills%2F_TEMPLATE%20-%20Bill.md,World_Machine,{{status: introduced|committee|floor|passed|enacted|dead|vetoed}},Bills,"[""#bill {{#housing #defense #tech}}""]",World_Machine,PolicyAction;Bill
world:entity:2026-05-14-crypto-policy-capture-and-clarity-act-watchpoints,2026-06-01,2026-05-14 - Crypto Policy Capture and CLARITY Act Watchpoints,,Entities,,2026-05-14 - Crypto Policy Capture and CLARITY Act Watchpoints,,2026-05-14 - Crypto Policy Capture and CLARITY Act Watchpoints,entity,,,,,,,,,,,,,,[],,Bill;Entity
world:entity:crypto-policy-capture-strategies,2026-06-01,Crypto Policy Capture Strategies,,Entities,,Crypto Policy Capture Strategies,,Crypto Policy Capture Strategies,entity,,,,,,,,,,,,,,[],,Bill;Entity;Sector
