:START_ID,:END_ID,asOfDate,firstSeen,id,lastSeen,method,source,weight,:TYPE
world:regime:geopolitical-escalation,world:sector:consumer-discretionary,2026-06-01,2026-06-01,rel:world-regime-geopolitical-escalation:HURTS_SECTOR:world-sector-consumer-discretionary,2026-06-01,hurts_sectors,frontmatter,1,HURTS_SECTOR
world:regime:inflationary-boom,world:sector:consumer-staples,2026-06-01,2026-06-01,rel:world-regime-inflationary-boom:HURTS_SECTOR:world-sector-consumer-staples,2026-06-01,hurts_sectors,frontmatter,1,HURTS_SECTOR
world:regime:rate-cut-cycle,world:sector:financials,2026-06-01,2026-06-01,rel:world-regime-rate-cut-cycle:HURTS_SECTOR:world-sector-financials,2026-06-01,hurts_sectors,frontmatter,1,HURTS_SECTOR
world:regime:rate-hike-cycle,world:sector:consumer-discretionary,2026-06-01,2026-06-01,rel:world-regime-rate-hike-cycle:HURTS_SECTOR:world-sector-consumer-discretionary,2026-06-01,hurts_sectors,frontmatter,1,HURTS_SECTOR
world:regime:recession,world:sector:consumer-discretionary,2026-06-01,2026-06-01,rel:world-regime-recession:HURTS_SECTOR:world-sector-consumer-discretionary,2026-06-01,hurts_sectors,frontmatter,1,HURTS_SECTOR
world:regime:risk-off,world:sector:consumer-discretionary,2026-06-01,2026-06-01,rel:world-regime-risk-off:HURTS_SECTOR:world-sector-consumer-discretionary,2026-06-01,hurts_sectors,frontmatter,1,HURTS_SECTOR
world:regime:risk-on,world:sector:consumer-staples,2026-06-01,2026-06-01,rel:world-regime-risk-on:HURTS_SECTOR:world-sector-consumer-staples,2026-06-01,hurts_sectors,frontmatter,1,HURTS_SECTOR
world:regime:stagflation,world:sector:consumer-discretionary,2026-06-01,2026-06-01,rel:world-regime-stagflation:HURTS_SECTOR:world-sector-consumer-discretionary,2026-06-01,hurts_sectors,frontmatter,1,HURTS_SECTOR
world:regime:geopolitical-escalation,world:sector:real-estate,2026-06-01,2026-06-01,rel:world-regime-geopolitical-escalation:HURTS_SECTOR:world-sector-real-estate,2026-06-01,hurts_sectors,frontmatter,1,HURTS_SECTOR
world:regime:inflationary-boom,world:sector:utilities,2026-06-01,2026-06-01,rel:world-regime-inflationary-boom:HURTS_SECTOR:world-sector-utilities,2026-06-01,hurts_sectors,frontmatter,1,HURTS_SECTOR
world:regime:rate-hike-cycle,world:sector:real-estate,2026-06-01,2026-06-01,rel:world-regime-rate-hike-cycle:HURTS_SECTOR:world-sector-real-estate,2026-06-01,hurts_sectors,frontmatter,1,HURTS_SECTOR
world:regime:recession,world:sector:financials,2026-06-01,2026-06-01,rel:world-regime-recession:HURTS_SECTOR:world-sector-financials,2026-06-01,hurts_sectors,frontmatter,1,HURTS_SECTOR
world:regime:risk-off,world:sector:industrials,2026-06-01,2026-06-01,rel:world-regime-risk-off:HURTS_SECTOR:world-sector-industrials,2026-06-01,hurts_sectors,frontmatter,1,HURTS_SECTOR
world:regime:risk-on,world:sector:utilities,2026-06-01,2026-06-01,rel:world-regime-risk-on:HURTS_SECTOR:world-sector-utilities,2026-06-01,hurts_sectors,frontmatter,1,HURTS_SECTOR
world:regime:stagflation,world:sector:financials,2026-06-01,2026-06-01,rel:world-regime-stagflation:HURTS_SECTOR:world-sector-financials,2026-06-01,hurts_sectors,frontmatter,1,HURTS_SECTOR
world:regime:rate-hike-cycle,world:sector:tech-sector,2026-06-01,2026-06-01,rel:world-regime-rate-hike-cycle:HURTS_SECTOR:world-sector-tech-sector,2026-06-01,hurts_sectors,frontmatter,1,HURTS_SECTOR
world:regime:recession,world:sector:industrials,2026-06-01,2026-06-01,rel:world-regime-recession:HURTS_SECTOR:world-sector-industrials,2026-06-01,hurts_sectors,frontmatter,1,HURTS_SECTOR
world:regime:risk-off,world:sector:tech-sector,2026-06-01,2026-06-01,rel:world-regime-risk-off:HURTS_SECTOR:world-sector-tech-sector,2026-06-01,hurts_sectors,frontmatter,1,HURTS_SECTOR
world:regime:stagflation,world:sector:tech-sector,2026-06-01,2026-06-01,rel:world-regime-stagflation:HURTS_SECTOR:world-sector-tech-sector,2026-06-01,hurts_sectors,frontmatter,1,HURTS_SECTOR
world:regime:recession,world:sector:materials,2026-06-01,2026-06-01,rel:world-regime-recession:HURTS_SECTOR:world-sector-materials,2026-06-01,hurts_sectors,frontmatter,1,HURTS_SECTOR
