record_type,module_id,module_title,gate,field_key,field_label,required,guidance,primary_value,secondary_value,status,confidence,source_title,source_reference,evidence_span_or_page,counterevidence,publisher,document_type,publication_date,reporting_period,retrieved_at,source_priority,license_class,redistribution_allowed,freshness,metric_value,metric_unit,formula_or_inputs,assumption_range,rubric_proven,rubric_perpetuating,rubric_durable,capability_status,catalyst_direction,probability,timing,market_awareness,company_control,approval_decision,reviewer,notes
instructions,,,,,,no,"Complete primary_value for research and module rows. Add more evidence, metric, assumption, capability, and catalyst rows as needed. Keep one fact or judgment per row. Dates use YYYY-MM-DD. Rubric values: insufficient | weak | moderate | strong.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Licensed material remains private and non-redistributable unless its license explicitly permits redistribution.
research_metadata,,,,company_name,Company legal name,yes,Exact legal or reported company name.,,,not-started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,ticker,Ticker,yes,Primary listed ticker.,,,not-started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,exchange,Exchange,yes,Primary listing exchange.,,,not-started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,currency,Reporting currency,yes,"ISO currency code, for example USD.",,,not-started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,sector,Sector,yes,Company sector.,,,not-started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,industry,Industry,yes,Company industry.,,,not-started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,research_objective,Research objective,yes,Decision this work should make easier.,,,not-started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,holding_period,Holding period,yes,"Days, weeks, months, one to three years, or more than three years.",,,not-started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,purpose,Purpose,yes,"Long-term investment, earnings trade, event-driven trade, momentum trade, hedge, income, or education only.",,,not-started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,maximum_capital_at_risk,Maximum capital at risk,yes,Dollar or percentage limit; use No position when appropriate.,,,not-started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,maximum_acceptable_loss,Maximum acceptable loss,yes,Dollar or percentage limit; use No position when appropriate.,,,not-started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,allowed_instruments,Allowed instruments,yes,Default to no-position until instruments are explicitly reviewed.,,,not-started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,starting_thesis,Starting thesis,yes,Current belief before evidence review.,,,not-started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,thesis_breaker,Known thesis-breaker,yes,Evidence that would force a complete rethink.,,,not-started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,0,Research intake,H0,objective,Research objective,yes,What decision should this research make easier?,,,not-started,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,0,Research intake,H0,known_thesis,Starting thesis,yes,"What do you currently believe, if anything?",,,not-started,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,0,Research intake,H0,thesis_breaker,Known thesis-breaker,yes,What evidence would force a complete rethink?,,,not-started,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,1,Company in plain English,H1,kid_explanation,Kid-level explanation,yes,"Explain what it sells, who pays, and why in five sentences or fewer.",,,not-started,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,1,Company in plain English,H1,positive_description,Blunt positive description,yes,Why could customers keep choosing it?,,,not-started,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,1,Company in plain English,H1,negative_description,Blunt negative description,yes,What is the least flattering accurate description?,,,not-started,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,2,Real economic engine,H1,economic_engine,Actual economic engine,yes,"This is actually a [business type] powered by [engine], not merely a [narrative] company.",,,not-started,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,2,Real economic engine,H1,profit_source,Largest profit source,yes,"Which product, segment, or transaction produces the profit?",,,not-started,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,2,Real economic engine,H1,external_dependency,Largest outside dependency,yes,What matters most that management cannot control?,,,not-started,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,3,Price expectations,H2,valuation_expectations,What the price assumes,yes,"State the growth, margin, share, and execution assumptions required by the current price.",,,not-started,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,3,Price expectations,H2,peer_group,Peer group,yes,"Which businesses are truly comparable, and where are they not?",,,not-started,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,3,Price expectations,H2,no_moonshot_value,No-moonshot case,yes,What remains if the most exciting future product receives zero value?,,,not-started,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,4,Capability and moat,H3,primary_capability,Most important capability,yes,"What useful asset, process, relationship, skill, resource, or system has the company built?",,,not-started,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,4,Capability and moat,H3,moat_summary,Moat conclusion,yes,"Is it a claim, capability, trajectory, proven moat, eroding moat, or no moat? Why?",,,not-started,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,4,Capability and moat,H3,counterevidence,Best counterevidence,yes,What evidence most strongly argues against the moat conclusion?,,,not-started,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,5,What is priced in,H3,current_engine,Current engine,yes,"What creates revenue, profit, and cash now?",,,not-started,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,5,What is priced in,H3,logical_extension,Logical extension,yes,Which adjacent opportunity reuses capabilities already present?,,,not-started,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,5,What is priced in,H3,moonshot,Moonshot,yes,Which large future outcome still lacks commercial proof?,,,not-started,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,6,Upside and downside,H3,top_upside,Most underappreciated upside,yes,Name one measurable development that could beat expectations.,,,not-started,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,6,Upside and downside,H3,top_downside,Most dangerous downside,yes,Name one measurable development that could break the thesis.,,,not-started,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,6,Upside and downside,H3,leading_indicator,Next leading indicator,yes,What should change before the financial result becomes obvious?,,,not-started,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,7,Fundamentals or vibes,H3,driver_classification,Primary price driver,yes,"Choose fundamentals, hybrid, catalyst, momentum, narrative, credit, no edge, or insufficient evidence.",,,not-started,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,7,Fundamentals or vibes,H3,driver_evidence,Evidence for the classification,yes,What observable evidence supports this label?,,,not-started,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,7,Fundamentals or vibes,H3,next_evidence,Next evidence needed,yes,What would meaningfully strengthen or weaken the classification?,,,not-started,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,12,Decision card,H3,verdict,Research verdict,yes,"Deep dive, watch for proof, watchlist, trade only, unattractive price, asymmetric trade, pass, or no position.",,,not-started,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,12,Decision card,H3,known_unknowns,Known unknowns,yes,What missing evidence matters most?,,,not-started,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,12,Decision card,H3,reversal_evidence,What would reverse this verdict?,yes,Write the evidence before the next event.,,,not-started,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capability_assessment,4,Capability and moat,H3,capability_assessment_1,Capability assessment,conditional,Use primary_value for the capability name and secondary_value for a plain-language explanation. Add one row per material capability.,,,draft,low,,,,,,,,,,,,,,,,,,insufficient,insufficient,insufficient,capability,,,,,,,,Capability status options: claim | capability | moat-trajectory | proven-moat | eroding-moat | no-moat.
metric,3,Price expectations,H2,share_price,Share price,conditional,"Enter a numeric metric_value, its unit, reporting period, source, and any formula or inputs.",,,unverified,,,,,,,,,,,,,,current,,USD,,,,,,,,,,,,,,
metric,3,Price expectations,H2,market_capitalization,Market capitalization,conditional,"Enter a numeric metric_value, its unit, reporting period, source, and any formula or inputs.",,,unverified,,,,,,,,,,,,,,current,,USD,,,,,,,,,,,,,,
metric,3,Price expectations,H2,enterprise_value,Enterprise value,conditional,"Enter a numeric metric_value, its unit, reporting period, source, and any formula or inputs.",,,unverified,,,,,,,,,,,,,,current,,USD,,,,,,,,,,,,,,
metric,2,Real economic engine,H1,revenue,Revenue,conditional,"Enter a numeric metric_value, its unit, reporting period, source, and any formula or inputs.",,,unverified,,,,,,,,,,,,,,current,,USD,,,,,,,,,,,,,,
metric,2,Real economic engine,H1,operating_income,Operating income,conditional,"Enter a numeric metric_value, its unit, reporting period, source, and any formula or inputs.",,,unverified,,,,,,,,,,,,,,current,,USD,,,,,,,,,,,,,,
metric,2,Real economic engine,H1,net_income,Net income,conditional,"Enter a numeric metric_value, its unit, reporting period, source, and any formula or inputs.",,,unverified,,,,,,,,,,,,,,current,,USD,,,,,,,,,,,,,,
metric,2,Real economic engine,H1,free_cash_flow,Free cash flow,conditional,"Enter a numeric metric_value, its unit, reporting period, source, and any formula or inputs.",,,unverified,,,,,,,,,,,,,,current,,USD,,,,,,,,,,,,,,
assumption,3,Price expectations,H2,revenue_growth,revenue growth,conditional,"Record the base assumption in primary_value, a reasonable range in assumption_range, and the evidence or reasoning in notes.",,,needs-human-input,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assumption,3,Price expectations,H2,operating_margin,operating margin,conditional,"Record the base assumption in primary_value, a reasonable range in assumption_range, and the evidence or reasoning in notes.",,,needs-human-input,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assumption,3,Price expectations,H2,free_cash_flow_margin,free cash flow margin,conditional,"Record the base assumption in primary_value, a reasonable range in assumption_range, and the evidence or reasoning in notes.",,,needs-human-input,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assumption,3,Price expectations,H2,share_count,share count,conditional,"Record the base assumption in primary_value, a reasonable range in assumption_range, and the evidence or reasoning in notes.",,,needs-human-input,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assumption,3,Price expectations,H2,valuation_multiple,valuation multiple,conditional,"Record the base assumption in primary_value, a reasonable range in assumption_range, and the evidence or reasoning in notes.",,,needs-human-input,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assumption,3,Price expectations,H2,discount_rate,discount rate,conditional,"Record the base assumption in primary_value, a reasonable range in assumption_range, and the evidence or reasoning in notes.",,,needs-human-input,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
catalyst,6,Upside and downside,H3,upside_catalyst_1,upside catalyst,conditional,"Use primary_value for the event and secondary_value for the causal explanation. Complete probability, timing, market awareness, company control, evidence, and notes.",,,unverified,low,,,,,,,,,,,,,,,,,,,,,,upside,unknown,unknown,unknown,unknown,,,
catalyst,6,Upside and downside,H3,downside_catalyst_1,downside catalyst,conditional,"Use primary_value for the event and secondary_value for the causal explanation. Complete probability, timing, market awareness, company control, evidence, and notes.",,,unverified,low,,,,,,,,,,,,,,,,,,,,,,downside,unknown,unknown,unknown,unknown,,,
evidence_source,0,Research intake,H0,module_0_evidence_1,Section evidence,conditional,"One source per row. Enter a URL or uploaded filename in source_reference and a precise page, table, paragraph, or cell range in evidence_span_or_page.",,,unverified,,,,,,,,,,,10,licensed-private,no,current,,,,,,,,,,,,,,,,
evidence_source,1,Company in plain English,H1,module_1_evidence_1,Section evidence,conditional,"One source per row. Enter a URL or uploaded filename in source_reference and a precise page, table, paragraph, or cell range in evidence_span_or_page.",,,unverified,,,,,,,,,,,10,licensed-private,no,current,,,,,,,,,,,,,,,,
evidence_source,2,Real economic engine,H1,module_2_evidence_1,Section evidence,conditional,"One source per row. Enter a URL or uploaded filename in source_reference and a precise page, table, paragraph, or cell range in evidence_span_or_page.",,,unverified,,,,,,,,,,,10,licensed-private,no,current,,,,,,,,,,,,,,,,
evidence_source,3,Price expectations,H2,module_3_evidence_1,Section evidence,conditional,"One source per row. Enter a URL or uploaded filename in source_reference and a precise page, table, paragraph, or cell range in evidence_span_or_page.",,,unverified,,,,,,,,,,,10,licensed-private,no,current,,,,,,,,,,,,,,,,
evidence_source,4,Capability and moat,H3,module_4_evidence_1,Section evidence,conditional,"One source per row. Enter a URL or uploaded filename in source_reference and a precise page, table, paragraph, or cell range in evidence_span_or_page.",,,unverified,,,,,,,,,,,10,licensed-private,no,current,,,,,,,,,,,,,,,,
evidence_source,5,What is priced in,H3,module_5_evidence_1,Section evidence,conditional,"One source per row. Enter a URL or uploaded filename in source_reference and a precise page, table, paragraph, or cell range in evidence_span_or_page.",,,unverified,,,,,,,,,,,10,licensed-private,no,current,,,,,,,,,,,,,,,,
