id,sourceId,targetId,type,source,method,confidence,weight,status,reason,evidenceCount,missingEvidence,firstSeen,lastSeen,reviewState,reviewRoute,createdBy,asOfDate
rel:world-regime-geopolitical-escalation:FAVORS_SECTOR:world-sector-aerospace-defense,world:regime:geopolitical-escalation,world:sector:aerospace-defense,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-geopolitical-escalation:FAVORS_SECTOR:world-sector-energy,world:regime:geopolitical-escalation,world:sector:energy,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-geopolitical-escalation:FAVORS_SECTOR:world-sector-materials,world:regime:geopolitical-escalation,world:sector:materials,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-goldilocks:FAVORS_SECTOR:world-sector-consumer-discretionary,world:regime:goldilocks,world:sector:consumer-discretionary,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-goldilocks:FAVORS_SECTOR:world-sector-financials,world:regime:goldilocks,world:sector:financials,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-goldilocks:FAVORS_SECTOR:world-sector-industrials,world:regime:goldilocks,world:sector:industrials,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-goldilocks:FAVORS_SECTOR:world-sector-tech-sector,world:regime:goldilocks,world:sector:tech-sector,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-inflationary-boom:FAVORS_SECTOR:world-sector-energy,world:regime:inflationary-boom,world:sector:energy,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-inflationary-boom:FAVORS_SECTOR:world-sector-financials,world:regime:inflationary-boom,world:sector:financials,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-inflationary-boom:FAVORS_SECTOR:world-sector-industrials,world:regime:inflationary-boom,world:sector:industrials,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-inflationary-boom:FAVORS_SECTOR:world-sector-materials,world:regime:inflationary-boom,world:sector:materials,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-rate-cut-cycle:FAVORS_SECTOR:world-sector-consumer-discretionary,world:regime:rate-cut-cycle,world:sector:consumer-discretionary,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-rate-cut-cycle:FAVORS_SECTOR:world-sector-real-estate,world:regime:rate-cut-cycle,world:sector:real-estate,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-rate-cut-cycle:FAVORS_SECTOR:world-sector-tech-sector,world:regime:rate-cut-cycle,world:sector:tech-sector,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-rate-hike-cycle:FAVORS_SECTOR:world-sector-energy,world:regime:rate-hike-cycle,world:sector:energy,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-rate-hike-cycle:FAVORS_SECTOR:world-sector-financials,world:regime:rate-hike-cycle,world:sector:financials,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-recession:FAVORS_SECTOR:world-sector-consumer-staples,world:regime:recession,world:sector:consumer-staples,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-recession:FAVORS_SECTOR:world-sector-healthcare,world:regime:recession,world:sector:healthcare,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-recession:FAVORS_SECTOR:world-sector-utilities,world:regime:recession,world:sector:utilities,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-risk-off:FAVORS_SECTOR:world-sector-consumer-staples,world:regime:risk-off,world:sector:consumer-staples,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-risk-off:FAVORS_SECTOR:world-sector-healthcare,world:regime:risk-off,world:sector:healthcare,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-risk-off:FAVORS_SECTOR:world-sector-utilities,world:regime:risk-off,world:sector:utilities,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-risk-on:FAVORS_SECTOR:world-sector-consumer-discretionary,world:regime:risk-on,world:sector:consumer-discretionary,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-risk-on:FAVORS_SECTOR:world-sector-industrials,world:regime:risk-on,world:sector:industrials,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-risk-on:FAVORS_SECTOR:world-sector-materials,world:regime:risk-on,world:sector:materials,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-risk-on:FAVORS_SECTOR:world-sector-tech-sector,world:regime:risk-on,world:sector:tech-sector,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-stagflation:FAVORS_SECTOR:world-sector-consumer-staples,world:regime:stagflation,world:sector:consumer-staples,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-stagflation:FAVORS_SECTOR:world-sector-energy,world:regime:stagflation,world:sector:energy,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
rel:world-regime-stagflation:FAVORS_SECTOR:world-sector-materials,world:regime:stagflation,world:sector:materials,FAVORS_SECTOR,frontmatter,favors_sectors,medium,1,,,,,2026-06-01,2026-06-01,,,,2026-06-01
