:START_ID,:END_ID,asOfDate,firstSeen,id,lastSeen,method,source,weight,:TYPE
world:sector:aerospace-defense,world:stock:AIRO,2026-06-01,2026-06-01,rel:world-sector-aerospace-defense:AFFECTS_STOCK:world-stock-airo,2026-06-01,sector_exposure,frontmatter,1,AFFECTS_STOCK
world:sector:communication-services,world:stock:GOOGL,2026-06-01,2026-06-01,rel:world-sector-communication-services:AFFECTS_STOCK:world-stock-googl,2026-06-01,sector_exposure,frontmatter,1,AFFECTS_STOCK
world:sector:consumer-discretionary,world:stock:AMZN,2026-06-01,2026-06-01,rel:world-sector-consumer-discretionary:AFFECTS_STOCK:world-stock-amzn,2026-06-01,sector_exposure,frontmatter,1,AFFECTS_STOCK
world:sector:consumer-staples,world:stock:BRBR,2026-06-01,2026-06-01,rel:world-sector-consumer-staples:AFFECTS_STOCK:world-stock-brbr,2026-06-01,sector_exposure,frontmatter,1,AFFECTS_STOCK
world:sector:energy,world:stock:CVX,2026-06-01,2026-06-01,rel:world-sector-energy:AFFECTS_STOCK:world-stock-cvx,2026-06-01,sector_exposure,frontmatter,1,AFFECTS_STOCK
world:sector:financials,world:stock:AXP,2026-06-01,2026-06-01,rel:world-sector-financials:AFFECTS_STOCK:world-stock-axp,2026-06-01,sector_exposure,frontmatter,1,AFFECTS_STOCK
world:sector:healthcare,world:stock:ABBV,2026-06-01,2026-06-01,rel:world-sector-healthcare:AFFECTS_STOCK:world-stock-abbv,2026-06-01,sector_exposure,frontmatter,1,AFFECTS_STOCK
world:sector:industrials,world:stock:ACHR,2026-06-01,2026-06-01,rel:world-sector-industrials:AFFECTS_STOCK:world-stock-achr,2026-06-01,sector_exposure,frontmatter,1,AFFECTS_STOCK
world:sector:materials,world:stock:FCX,2026-06-01,2026-06-01,rel:world-sector-materials:AFFECTS_STOCK:world-stock-fcx,2026-06-01,sector_exposure,frontmatter,1,AFFECTS_STOCK
world:sector:real-estate,world:stock:EQIX,2026-06-01,2026-06-01,rel:world-sector-real-estate:AFFECTS_STOCK:world-stock-eqix,2026-06-01,sector_exposure,frontmatter,1,AFFECTS_STOCK
world:sector:tech-sector,world:stock:AAPL,2026-06-01,2026-06-01,rel:world-sector-tech-sector:AFFECTS_STOCK:world-stock-aapl,2026-06-01,sector_exposure,frontmatter,1,AFFECTS_STOCK
world:sector:utilities,world:stock:CEG,2026-06-01,2026-06-01,rel:world-sector-utilities:AFFECTS_STOCK:world-stock-ceg,2026-06-01,sector_exposure,frontmatter,1,AFFECTS_STOCK
world:sector:aerospace-defense,world:stock:AVAV,2026-06-01,2026-06-01,rel:world-sector-aerospace-defense:AFFECTS_STOCK:world-stock-avav,2026-06-01,sector_exposure,frontmatter,1,AFFECTS_STOCK
world:sector:communication-services,world:stock:META,2026-06-01,2026-06-01,rel:world-sector-communication-services:AFFECTS_STOCK:world-stock-meta,2026-06-01,sector_exposure,frontmatter,1,AFFECTS_STOCK
world:sector:consumer-discretionary,world:stock:BLMN,2026-06-01,2026-06-01,rel:world-sector-consumer-discretionary:AFFECTS_STOCK:world-stock-blmn,2026-06-01,sector_exposure,frontmatter,1,AFFECTS_STOCK
world:sector:consumer-staples,world:stock:COST,2026-06-01,2026-06-01,rel:world-sector-consumer-staples:AFFECTS_STOCK:world-stock-cost,2026-06-01,sector_exposure,frontmatter,1,AFFECTS_STOCK
world:sector:energy,world:stock:OXY,2026-06-01,2026-06-01,rel:world-sector-energy:AFFECTS_STOCK:world-stock-oxy,2026-06-01,sector_exposure,frontmatter,1,AFFECTS_STOCK
world:sector:financials,world:stock:BRK_B,2026-06-01,2026-06-01,rel:world-sector-financials:AFFECTS_STOCK:world-stock-brk-b,2026-06-01,sector_exposure,frontmatter,1,AFFECTS_STOCK
world:sector:healthcare,world:stock:ALKS,2026-06-01,2026-06-01,rel:world-sector-healthcare:AFFECTS_STOCK:world-stock-alks,2026-06-01,sector_exposure,frontmatter,1,AFFECTS_STOCK
world:sector:industrials,world:stock:AMSC,2026-06-01,2026-06-01,rel:world-sector-industrials:AFFECTS_STOCK:world-stock-amsc,2026-06-01,sector_exposure,frontmatter,1,AFFECTS_STOCK
world:sector:materials,world:stock:GOLD,2026-06-01,2026-06-01,rel:world-sector-materials:AFFECTS_STOCK:world-stock-gold,2026-06-01,sector_exposure,frontmatter,1,AFFECTS_STOCK
world:sector:real-estate,world:stock:IIPR,2026-06-01,2026-06-01,rel:world-sector-real-estate:AFFECTS_STOCK:world-stock-iipr,2026-06-01,sector_exposure,frontmatter,1,AFFECTS_STOCK
world:sector:tech-sector,world:stock:MSFT,2026-06-01,2026-06-01,rel:world-sector-tech-sector:AFFECTS_STOCK:world-stock-msft,2026-06-01,sector_exposure,frontmatter,1,AFFECTS_STOCK
