:START_ID,:END_ID,asOfDate,firstSeen,id,lastSeen,method,source,weight,:TYPE
mydata:thesis:aerospace-defense-sector-basket,world:regime:geopolitical-escalation,2026-06-01,2026-06-01,rel:mydata-thesis-aerospace-defense-sector-basket:SUPPORTS_THESIS:world-regime-geopolitical-escalation,2026-06-01,supporting_regimes,frontmatter,1,SUPPORTS_THESIS
mydata:thesis:ai-power-defense-stack,world:entity:ai-infrastructure-buildout,2026-06-01,2026-06-01,rel:mydata-thesis-ai-power-defense-stack:SUPPORTS_THESIS:world-entity-ai-infrastructure-buildout,2026-06-01,supporting_regimes,frontmatter,1,SUPPORTS_THESIS
mydata:thesis:ai-power-infrastructure,world:entity:ai-infrastructure-buildout,2026-06-01,2026-06-01,rel:mydata-thesis-ai-power-infrastructure:SUPPORTS_THESIS:world-entity-ai-infrastructure-buildout,2026-06-01,supporting_regimes,frontmatter,1,SUPPORTS_THESIS
mydata:thesis:alzheimers-disease-modification,world:regime:goldilocks,2026-06-01,2026-06-01,rel:mydata-thesis-alzheimers-disease-modification:SUPPORTS_THESIS:world-regime-goldilocks,2026-06-01,supporting_regimes,frontmatter,1,SUPPORTS_THESIS
mydata:thesis:antimicrobial-resistance-pipeline,world:entity:biosecurity-spending,2026-06-01,2026-06-01,rel:mydata-thesis-antimicrobial-resistance-pipeline:SUPPORTS_THESIS:world-entity-biosecurity-spending,2026-06-01,supporting_regimes,frontmatter,1,SUPPORTS_THESIS
mydata:thesis:bioengineered-food-systems,world:entity:food-inflation,2026-06-01,2026-06-01,rel:mydata-thesis-bioengineered-food-systems:SUPPORTS_THESIS:world-entity-food-inflation,2026-06-01,supporting_regimes,frontmatter,1,SUPPORTS_THESIS
mydata:thesis:biosecurity-compute-convergence,world:entity:ai-infrastructure-buildout,2026-06-01,2026-06-01,rel:mydata-thesis-biosecurity-compute-convergence:SUPPORTS_THESIS:world-entity-ai-infrastructure-buildout,2026-06-01,supporting_regimes,frontmatter,1,SUPPORTS_THESIS
mydata:thesis:buffett-style-quality-compounders,world:regime:goldilocks,2026-06-01,2026-06-01,rel:mydata-thesis-buffett-style-quality-compounders:SUPPORTS_THESIS:world-regime-goldilocks,2026-06-01,supporting_regimes,frontmatter,1,SUPPORTS_THESIS
mydata:thesis:capital-raise-survivors-small-cap-inflection-basket,world:regime:liquidity-cycle,2026-06-01,2026-06-01,rel:mydata-thesis-capital-raise-survivors-small-cap-inflection-basket:SUPPORTS_THESIS:world-regime-liquidity-cycle,2026-06-01,supporting_regimes,frontmatter,1,SUPPORTS_THESIS
mydata:thesis:communication-services-sector-basket,world:regime:goldilocks,2026-06-01,2026-06-01,rel:mydata-thesis-communication-services-sector-basket:SUPPORTS_THESIS:world-regime-goldilocks,2026-06-01,supporting_regimes,frontmatter,1,SUPPORTS_THESIS
mydata:thesis:consumer-discretionary-sector-basket,world:regime:goldilocks,2026-06-01,2026-06-01,rel:mydata-thesis-consumer-discretionary-sector-basket:SUPPORTS_THESIS:world-regime-goldilocks,2026-06-01,supporting_regimes,frontmatter,1,SUPPORTS_THESIS
