id,sourceId,targetId,type,source,method,confidence,weight,status,reason,evidenceCount,missingEvidence,firstSeen,lastSeen,reviewState,reviewRoute,createdBy,asOfDate
rel:mydata-thesis-aerospace-defense-sector-basket:CANDIDATE_LINK:domain-evidence,mydata:thesis:aerospace-defense-sector-basket,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-ai-power-defense-stack:CANDIDATE_LINK:domain-evidence,mydata:thesis:ai-power-defense-stack,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-ai-power-infrastructure:CANDIDATE_LINK:domain-evidence,mydata:thesis:ai-power-infrastructure,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-alzheimers-disease-modification:CANDIDATE_LINK:domain-evidence,mydata:thesis:alzheimers-disease-modification,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-antimicrobial-resistance-pipeline:CANDIDATE_LINK:domain-evidence,mydata:thesis:antimicrobial-resistance-pipeline,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-bioengineered-food-systems:CANDIDATE_LINK:domain-evidence,mydata:thesis:bioengineered-food-systems,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-biosecurity-compute-convergence:CANDIDATE_LINK:domain-evidence,mydata:thesis:biosecurity-compute-convergence,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-buffett-style-quality-compounders:CANDIDATE_LINK:domain-evidence,mydata:thesis:buffett-style-quality-compounders,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-capital-raise-survivors-small-cap-inflection-basket:CANDIDATE_LINK:domain-evidence,mydata:thesis:capital-raise-survivors-small-cap-inflection-basket,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-communication-services-sector-basket:CANDIDATE_LINK:domain-evidence,mydata:thesis:communication-services-sector-basket,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-consumer-discretionary-sector-basket:CANDIDATE_LINK:domain-evidence,mydata:thesis:consumer-discretionary-sector-basket,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-consumer-staples-sector-basket:CANDIDATE_LINK:domain-evidence,mydata:thesis:consumer-staples-sector-basket,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-dalio-style-all-weather-hard-assets:CANDIDATE_LINK:domain-evidence,mydata:thesis:dalio-style-all-weather-hard-assets,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-defense-ai-autonomous-warfare:CANDIDATE_LINK:domain-evidence,mydata:thesis:defense-ai-autonomous-warfare,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-dollar-debasement-hard-money:CANDIDATE_LINK:domain-evidence,mydata:thesis:dollar-debasement-hard-money,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-drone-autonomous-systems-revolution:CANDIDATE_LINK:domain-evidence,mydata:thesis:drone-autonomous-systems-revolution,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-druckenmiller-style-secular-trend-leaders:CANDIDATE_LINK:domain-evidence,mydata:thesis:druckenmiller-style-secular-trend-leaders,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-energy-sector-basket:CANDIDATE_LINK:domain-evidence,mydata:thesis:energy-sector-basket,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-financials-sector-basket:CANDIDATE_LINK:domain-evidence,mydata:thesis:financials-sector-basket,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-fiscal-scarcity-rearmament:CANDIDATE_LINK:domain-evidence,mydata:thesis:fiscal-scarcity-rearmament,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-gene-editing-crispr-therapeutics:CANDIDATE_LINK:domain-evidence,mydata:thesis:gene-editing-crispr-therapeutics,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-glp-1-metabolic-disease-revolution:CANDIDATE_LINK:domain-evidence,mydata:thesis:glp-1-metabolic-disease-revolution,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-graham-style-deep-value-re-rating:CANDIDATE_LINK:domain-evidence,mydata:thesis:graham-style-deep-value-re-rating,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-grid-equipment-bottleneck:CANDIDATE_LINK:domain-evidence,mydata:thesis:grid-equipment-bottleneck,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-grid-scale-battery-storage:CANDIDATE_LINK:domain-evidence,mydata:thesis:grid-scale-battery-storage,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-healthcare-sector-basket:CANDIDATE_LINK:domain-evidence,mydata:thesis:healthcare-sector-basket,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-housing-supply-correction:CANDIDATE_LINK:domain-evidence,mydata:thesis:housing-supply-correction,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-humanoid-robotics:CANDIDATE_LINK:domain-evidence,mydata:thesis:humanoid-robotics,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-hypersonic-weapons-advanced-defense:CANDIDATE_LINK:domain-evidence,mydata:thesis:hypersonic-weapons-advanced-defense,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-industrials-sector-basket:CANDIDATE_LINK:domain-evidence,mydata:thesis:industrials-sector-basket,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-longevity-aging-biology:CANDIDATE_LINK:domain-evidence,mydata:thesis:longevity-aging-biology,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-lynch-style-garp-leaders:CANDIDATE_LINK:domain-evidence,mydata:thesis:lynch-style-garp-leaders,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-materials-sector-basket:CANDIDATE_LINK:domain-evidence,mydata:thesis:materials-sector-basket,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-nuclear-renaissance-smrs:CANDIDATE_LINK:domain-evidence,mydata:thesis:nuclear-renaissance-smrs,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-psychedelic-mental-health-revolution:CANDIDATE_LINK:domain-evidence,mydata:thesis:psychedelic-mental-health-revolution,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-quantum-computing:CANDIDATE_LINK:domain-evidence,mydata:thesis:quantum-computing,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
rel:mydata-thesis-real-estate-sector-basket:CANDIDATE_LINK:domain-evidence,mydata:thesis:real-estate-sector-basket,domain:evidence,CANDIDATE_LINK,blind-spot-graph,regime_data_gap,low,0.25,candidate,Thesis has core entities and should be checked for current signal and evidence freshness.,0,"Review latest signal intelligence, FMP thesis watchlists, and related pull notes.",2026-06-01,2026-06-01,needs_review,,neo4j-blind-spot-graph,2026-06-01
