:START_ID,:END_ID,:TYPE
world:event-trend:2026-06-02:rates-bonds-and-inflation-expectations,world:inbox-item:2026-06-02:e182c2c44db392d8,SUPPORTED_BY
world:event-trend:2026-06-02:healthcare-pricing-and-policy-pressure,world:inbox-item:2026-06-02:e182c2c44db392d8,SUPPORTED_BY
world:event-trend:2026-06-02:power-grid-and-industrial-capex,world:inbox-item:2026-06-02:e182c2c44db392d8,SUPPORTED_BY
world:event-trend:2026-06-02:policy-legal-and-liability-friction,world:inbox-item:2026-06-02:e182c2c44db392d8,SUPPORTED_BY
world:event-trend:2026-06-02:market-structure-vs-fundamentals,world:inbox-item:2026-06-02:e182c2c44db392d8,SUPPORTED_BY
world:event-trend:2026-06-02:geopolitics-and-capital-access,world:inbox-item:2026-06-02:f50924adfcd43fd7,SUPPORTED_BY
world:event-trend:2026-06-02:socioeconomic-narrative-risk,world:inbox-item:2026-06-02:6f7d78e8907fe219,SUPPORTED_BY
world:event-trend:2026-06-02:23a56500bbff911f:71b8dda4d0e437e5,world:inbox-item:2026-06-02:23a56500bbff911f:c1d91f550c3df062,SUPPORTED_BY
world:event-trend:2026-06-02:23a56500bbff911f:6b585733335bbc3a,world:inbox-item:2026-06-02:23a56500bbff911f:c1d91f550c3df062,SUPPORTED_BY
world:event-trend:2026-06-02:23a56500bbff911f:3427d547732913c7,world:inbox-item:2026-06-02:23a56500bbff911f:c1d91f550c3df062,SUPPORTED_BY
world:event-trend:2026-06-02:23a56500bbff911f:1ce68b25f99d8f24,world:inbox-item:2026-06-02:23a56500bbff911f:c1d91f550c3df062,SUPPORTED_BY
world:event-trend:2026-06-02:23a56500bbff911f:3b794f2d1b3ed728,world:inbox-item:2026-06-02:23a56500bbff911f:c1d91f550c3df062,SUPPORTED_BY
world:event-trend:2026-06-02:23a56500bbff911f:eb17c4b4e0e0a225,world:inbox-item:2026-06-02:23a56500bbff911f:57c65f1033abf2fe,SUPPORTED_BY
world:event-trend:2026-06-02:23a56500bbff911f:775692a67f475d2d,world:inbox-item:2026-06-02:23a56500bbff911f:aa891e600c99c131,SUPPORTED_BY
world:event-trend:2026-06-02:rates-bonds-and-inflation-expectations,world:inbox-item:2026-06-02:6f7d78e8907fe219,SUPPORTED_BY
world:event-trend:2026-06-02:healthcare-pricing-and-policy-pressure,world:inbox-item:2026-06-02:6f7d78e8907fe219,SUPPORTED_BY
world:event-trend:2026-06-02:power-grid-and-industrial-capex,world:inbox-item:2026-06-02:6f7d78e8907fe219,SUPPORTED_BY
world:event-trend:2026-06-02:policy-legal-and-liability-friction,world:inbox-item:2026-06-02:336c13e5b7628293,SUPPORTED_BY
world:event-trend:2026-06-02:23a56500bbff911f:71b8dda4d0e437e5,world:inbox-item:2026-06-02:23a56500bbff911f:aa891e600c99c131,SUPPORTED_BY
