:START_ID,:END_ID,:TYPE
world:inbox-item:2026-06-02:e182c2c44db392d8,candidate:world-inbox:bcbc3e1440f31063,EVIDENCE_FOR
world:inbox-item:2026-06-02:6f7d78e8907fe219,candidate:world-inbox:bcbc3e1440f31063,EVIDENCE_FOR
world:inbox-item:2026-06-02:336c13e5b7628293,candidate:world-inbox:bcbc3e1440f31063,EVIDENCE_FOR
world:inbox-item:2026-06-02:f50924adfcd43fd7,candidate:world-inbox:bcbc3e1440f31063,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:c1d91f550c3df062,candidate:world-inbox:afd4510eded9081c,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:aa891e600c99c131,candidate:world-inbox:afd4510eded9081c,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:57c65f1033abf2fe,candidate:world-inbox:afd4510eded9081c,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:1038077d636e5542,candidate:world-inbox:afd4510eded9081c,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:306f279a6761b89f,candidate:world-inbox:afd4510eded9081c,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:104405b4d7991292,candidate:world-inbox:afd4510eded9081c,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:dde3b8e3c5262412,candidate:world-inbox:afd4510eded9081c,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:723b25baf010a5b7,candidate:world-inbox:afd4510eded9081c,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:c1ce9b34dbc5c184,candidate:world-inbox:afd4510eded9081c,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:db5850d39c0348f4,candidate:world-inbox:afd4510eded9081c,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:a0acd70bf19d8605,candidate:world-inbox:d9c28e8a5c809ce5,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:5999243c2cc7123d,candidate:world-inbox:afd4510eded9081c,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:0f622d4bbbaa99d5,candidate:world-inbox:afd4510eded9081c,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:8c339e95d55661be,candidate:world-inbox:afd4510eded9081c,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:675bc94691e90148,candidate:world-inbox:69179791a6c0cc99,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:3b34643c9aa74831,candidate:world-inbox:afd4510eded9081c,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:9036a4b4912709c2,candidate:world-inbox:afd4510eded9081c,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:7550d41dc6119f20,candidate:world-inbox:69179791a6c0cc99,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:eb1b855eb064ff73,candidate:world-inbox:afd4510eded9081c,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:d9eb56adc0c096be,candidate:world-inbox:d9c28e8a5c809ce5,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:80228da79a31824d,candidate:world-inbox:afd4510eded9081c,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:629ffb29c4626a71,candidate:world-inbox:afd4510eded9081c,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:14465bd038892ff9,candidate:world-inbox:69179791a6c0cc99,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:aba16fff75076a7d,candidate:world-inbox:dffd48ffaaa2ddda,EVIDENCE_FOR
world:inbox-item:2026-06-02:e182c2c44db392d8,candidate:world-inbox:a4105ac57b0694e7,EVIDENCE_FOR
world:inbox-item:2026-06-02:6f7d78e8907fe219,candidate:world-inbox:a4105ac57b0694e7,EVIDENCE_FOR
world:inbox-item:2026-06-02:336c13e5b7628293,candidate:world-inbox:a42784534701a093,EVIDENCE_FOR
world:inbox-item:2026-06-02:f50924adfcd43fd7,candidate:world-inbox:d771aecc85bc85d7,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:c1d91f550c3df062,candidate:world-inbox:d9c28e8a5c809ce5,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:aa891e600c99c131,candidate:world-inbox:d9c28e8a5c809ce5,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:57c65f1033abf2fe,candidate:world-inbox:69179791a6c0cc99,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:1038077d636e5542,candidate:world-inbox:69179791a6c0cc99,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:306f279a6761b89f,candidate:world-inbox:4065482f7cb82911,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:104405b4d7991292,candidate:world-inbox:4a3753ebbfbf166e,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:dde3b8e3c5262412,candidate:world-inbox:d9c28e8a5c809ce5,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:723b25baf010a5b7,candidate:world-inbox:d9c28e8a5c809ce5,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:c1ce9b34dbc5c184,candidate:world-inbox:d9c28e8a5c809ce5,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:db5850d39c0348f4,candidate:world-inbox:d9c28e8a5c809ce5,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:a0acd70bf19d8605,candidate:world-inbox:dffd48ffaaa2ddda,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:5999243c2cc7123d,candidate:world-inbox:69179791a6c0cc99,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:0f622d4bbbaa99d5,candidate:world-inbox:d9c28e8a5c809ce5,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:8c339e95d55661be,candidate:world-inbox:69179791a6c0cc99,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:675bc94691e90148,candidate:world-inbox:dffd48ffaaa2ddda,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:3b34643c9aa74831,candidate:world-inbox:69179791a6c0cc99,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:9036a4b4912709c2,candidate:world-inbox:69179791a6c0cc99,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:7550d41dc6119f20,candidate:world-inbox:dffd48ffaaa2ddda,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:eb1b855eb064ff73,candidate:world-inbox:69179791a6c0cc99,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:d9eb56adc0c096be,candidate:world-inbox:69179791a6c0cc99,EVIDENCE_FOR
world:inbox-item:2026-06-02:23a56500bbff911f:80228da79a31824d,candidate:world-inbox:d9c28e8a5c809ce5,EVIDENCE_FOR
