id,labels,name,canonicalName,label,vault,relativePath,obsidianUrl,sourcePath,sourceVault,sourceFolder,nodeType,domain,subdomain,assetClass,sector,industry,country,jurisdiction,tags,status,signalStatus,confidence,conviction,timeframe,frequency,lastUpdated,date,asOfDate,ticker,exchange,symbol,currency,instrumentType,currentValue,trend,source,provider,dataType,datePulled,freshnessDate,summary,url
world:bill:ca-ab-412-generative-ai-training-data-copyrighted-materials,PolicyAction;Bill,CA AB 412 - Generative AI training data copyrighted materials,CA AB 412 - Generative AI training data copyrighted materials,CA AB 412 - Generative AI training data copyrighted materials,World_Machine,Policy/Bills/State/CA/CA AB 412 - Generative AI training data copyrighted materials.md,obsidian://open?vault=World_Machine&file=Policy%2FBills%2FState%2FCA%2FCA%20AB%20412%20-%20Generative%20AI%20training%20data%20copyrighted%20materials.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Bills\State\CA\CA AB 412 - Generative AI training data copyrighted materials.md,World_Machine,Policy,bill,Policy,Bills,,tech,,,state-CA,bill;state-ca;tech,committee,,,,,,,,2026-06-01,,,,,,,,,,bill,,,,
world:bill:ca-ab-736-affordable-housing-bond-act-of-2026,PolicyAction;Bill,CA AB 736 - Affordable Housing Bond Act of 2026,CA AB 736 - Affordable Housing Bond Act of 2026,CA AB 736 - Affordable Housing Bond Act of 2026,World_Machine,Policy/Bills/State/CA/CA AB 736 - Affordable Housing Bond Act of 2026.md,obsidian://open?vault=World_Machine&file=Policy%2FBills%2FState%2FCA%2FCA%20AB%20736%20-%20Affordable%20Housing%20Bond%20Act%20of%202026.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Bills\State\CA\CA AB 736 - Affordable Housing Bond Act of 2026.md,World_Machine,Policy,bill,Policy,Bills,,housing,,,state-CA,bill;state-ca;housing,committee,,,,,,,,2026-06-01,,,,,,,,,,bill,,,,
world:bill:ca-sb-903-mental-health-ai,PolicyAction;Bill,CA SB 903 - Mental Health AI,CA SB 903 - Mental Health AI,CA SB 903 - Mental Health AI,World_Machine,Policy/Bills/State/CA/CA SB 903 - Mental Health AI.md,obsidian://open?vault=World_Machine&file=Policy%2FBills%2FState%2FCA%2FCA%20SB%20903%20-%20Mental%20Health%20AI.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Bills\State\CA\CA SB 903 - Mental Health AI.md,World_Machine,Policy,bill,Policy,Bills,,tech,,,state-CA,bill;state-ca;tech,committee,,,,,,,,2026-06-01,,,,,,,,,,bill,,,,
world:bill:digital-asset-market-clarity-act-of-2025,PolicyAction;Bill,Digital Asset Market Clarity Act of 2025,Digital Asset Market Clarity Act of 2025,Digital Asset Market Clarity Act of 2025,World_Machine,Policy/Bills/Digital Asset Market Clarity Act of 2025.md,obsidian://open?vault=World_Machine&file=Policy%2FBills%2FDigital%20Asset%20Market%20Clarity%20Act%20of%202025.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Bills\Digital Asset Market Clarity Act of 2025.md,World_Machine,Policy,bill,Policy,Bills,,,,,,policy;crypto;digital-assets;clarity-act;sec;cftc;stablecoins;cbdc,senate-banking-advanced,,,,,,2026-05-14,,2026-06-01,,,,,,,,,,bill,,,,
world:bill:hr-8479-protecting-consumers-from-deceptive-ai-act,PolicyAction;Bill,HR-8479 - Protecting Consumers from Deceptive AI Act,HR-8479 - Protecting Consumers from Deceptive AI Act,HR-8479 - Protecting Consumers from Deceptive AI Act,World_Machine,Policy/Bills/Federal/HR-8479 - Protecting Consumers from Deceptive AI Act.md,obsidian://open?vault=World_Machine&file=Policy%2FBills%2FFederal%2FHR-8479%20-%20Protecting%20Consumers%20from%20Deceptive%20AI%20Act.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Bills\Federal\HR-8479 - Protecting Consumers from Deceptive AI Act.md,World_Machine,Policy,bill,Policy,Bills,,tech,,,federal,bill;federal;tech,committee,,,,,,,,2026-06-01,,,,,,,,,,bill,,,,
world:bill:s-4424-ndaa-fy2021-higher-ed-institutional-prohibition,PolicyAction;Bill,S-4424 - NDAA FY2021 Higher Ed Institutional Prohibition,S-4424 - NDAA FY2021 Higher Ed Institutional Prohibition,S-4424 - NDAA FY2021 Higher Ed Institutional Prohibition,World_Machine,Policy/Bills/Federal/S-4424 - NDAA FY2021 Higher Ed Institutional Prohibition.md,obsidian://open?vault=World_Machine&file=Policy%2FBills%2FFederal%2FS-4424%20-%20NDAA%20FY2021%20Higher%20Ed%20Institutional%20Prohibition.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Bills\Federal\S-4424 - NDAA FY2021 Higher Ed Institutional Prohibition.md,World_Machine,Policy,bill,Policy,Bills,,defense,,,federal,bill;federal;defense,committee,,,,,,,,2026-06-01,,,,,,,,,,bill,,,,
world:bill:s-4459-expanding-appalachia-s-broadband-access-act,PolicyAction;Bill,S-4459 - Expanding Appalachia's Broadband Access Act,S-4459 - Expanding Appalachia's Broadband Access Act,S-4459 - Expanding Appalachia's Broadband Access Act,World_Machine,Policy/Bills/Federal/S-4459 - Expanding Appalachia's Broadband Access Act.md,obsidian://open?vault=World_Machine&file=Policy%2FBills%2FFederal%2FS-4459%20-%20Expanding%20Appalachia's%20Broadband%20Access%20Act.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Bills\Federal\S-4459 - Expanding Appalachia's Broadband Access Act.md,World_Machine,Policy,bill,Policy,Bills,,tech,,,federal,bill;federal;tech,committee,,,,,,,,2026-06-01,,,,,,,,,,bill,,,,
world:bill:template-bill,PolicyAction;Bill,_TEMPLATE - Bill,_TEMPLATE - Bill,_TEMPLATE - Bill,World_Machine,Policy/Bills/_TEMPLATE - Bill.md,obsidian://open?vault=World_Machine&file=Policy%2FBills%2F_TEMPLATE%20-%20Bill.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Bills\_TEMPLATE - Bill.md,World_Machine,Policy,bill,Policy,Bills,,{{sectors: housing|defense|tech}},,,{{jurisdiction: federal|state-NY|state-IL|state-TX|state-FL|state-CA}},#bill {{#housing #defense #tech}},{{status: introduced|committee|floor|passed|enacted|dead|vetoed}},,,,,,,,2026-06-01,,,,,,,,,,bill,,,,
world:policyaction:2026-05-19-freight-broker-liability-montgomery-v-caribe,PolicyAction,2026-05-19 - Freight Broker Liability - Montgomery v Caribe,2026-05-19 - Freight Broker Liability - Montgomery v Caribe,2026-05-19 - Freight Broker Liability - Montgomery v Caribe,World_Machine,Policy/Observations/2026-05-19 - Freight Broker Liability - Montgomery v Caribe.md,obsidian://open?vault=World_Machine&file=Policy%2FObservations%2F2026-05-19%20-%20Freight%20Broker%20Liability%20-%20Montgomery%20v%20Caribe.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\Observations\2026-05-19 - Freight Broker Liability - Montgomery v Caribe.md,World_Machine,Policy,policyaction,Policy,Observations,,,,,,policy;court-ruling;logistics;freight-broker;liability;regulation;CHR,active,,,,,,,2026-05-19,2026-06-01,,,,,,,,"FreightWaves — Rob Carpenter, May 14, 2026",,policy-observation,,,,
world:policyaction:congress-gov-api,PolicyAction,Congress.gov API,Congress.gov API,Congress.gov API,World_Machine,Policy/_Data Sources/Congress.gov API.md,obsidian://open?vault=World_Machine&file=Policy%2F_Data%20Sources%2FCongress.gov%20API.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Policy\_Data Sources\Congress.gov API.md,World_Machine,Policy,policyaction,Policy,_Data Sources,,,,,,data-source;policy;legislative;congress,,,,,,,,,2026-06-01,,,,,,,,,,data-source,,,,
