:START_ID,:END_ID,asOfDate,firstSeen,id,lastSeen,method,source,weight,:TYPE
world:regime:geopolitical-escalation,world:sector:aerospace-defense,2026-06-01,2026-06-01,rel:world-regime-geopolitical-escalation:FAVORS_SECTOR:world-sector-aerospace-defense,2026-06-01,favors_sectors,frontmatter,1,FAVORS_SECTOR
world:regime:goldilocks,world:sector:consumer-discretionary,2026-06-01,2026-06-01,rel:world-regime-goldilocks:FAVORS_SECTOR:world-sector-consumer-discretionary,2026-06-01,favors_sectors,frontmatter,1,FAVORS_SECTOR
world:regime:inflationary-boom,world:sector:energy,2026-06-01,2026-06-01,rel:world-regime-inflationary-boom:FAVORS_SECTOR:world-sector-energy,2026-06-01,favors_sectors,frontmatter,1,FAVORS_SECTOR
world:regime:rate-cut-cycle,world:sector:consumer-discretionary,2026-06-01,2026-06-01,rel:world-regime-rate-cut-cycle:FAVORS_SECTOR:world-sector-consumer-discretionary,2026-06-01,favors_sectors,frontmatter,1,FAVORS_SECTOR
world:regime:rate-hike-cycle,world:sector:energy,2026-06-01,2026-06-01,rel:world-regime-rate-hike-cycle:FAVORS_SECTOR:world-sector-energy,2026-06-01,favors_sectors,frontmatter,1,FAVORS_SECTOR
world:regime:recession,world:sector:consumer-staples,2026-06-01,2026-06-01,rel:world-regime-recession:FAVORS_SECTOR:world-sector-consumer-staples,2026-06-01,favors_sectors,frontmatter,1,FAVORS_SECTOR
world:regime:risk-off,world:sector:consumer-staples,2026-06-01,2026-06-01,rel:world-regime-risk-off:FAVORS_SECTOR:world-sector-consumer-staples,2026-06-01,favors_sectors,frontmatter,1,FAVORS_SECTOR
world:regime:risk-on,world:sector:consumer-discretionary,2026-06-01,2026-06-01,rel:world-regime-risk-on:FAVORS_SECTOR:world-sector-consumer-discretionary,2026-06-01,favors_sectors,frontmatter,1,FAVORS_SECTOR
world:regime:stagflation,world:sector:consumer-staples,2026-06-01,2026-06-01,rel:world-regime-stagflation:FAVORS_SECTOR:world-sector-consumer-staples,2026-06-01,favors_sectors,frontmatter,1,FAVORS_SECTOR
world:regime:geopolitical-escalation,world:sector:energy,2026-06-01,2026-06-01,rel:world-regime-geopolitical-escalation:FAVORS_SECTOR:world-sector-energy,2026-06-01,favors_sectors,frontmatter,1,FAVORS_SECTOR
