id:ID,asOfDate,canonicalName,dataType,date,datePulled,domain,label,name,nodeType,obsidianUrl,relativePath,sector,signalStatus,source,sourceFolder,sourcePath,sourceVault,source_folder,source_path,source_rel_path,source_url,source_vault,subdomain,symbol,tags,ticker,vault,:LABEL
mydata:signal:2026-04-23-dilution-mnts,2026-06-01,Dilution Alert — MNTS,signal,,2026-04-23,Signals,Dilution Alert — MNTS,Dilution Alert — MNTS,signal,obsidian://open?vault=My_Data&file=06_Signals%2F2026-04-23_DILUTION_MNTS.md,06_Signals/2026-04-23_DILUTION_MNTS.md,,alert,SEC EDGAR + FMP Premium,06_Signals,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\06_Signals\2026-04-23_DILUTION_MNTS.md,My_Data,06_Signals,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\06_Signals\2026-04-23_DILUTION_MNTS.md,06_Signals/2026-04-23_DILUTION_MNTS.md,obsidian://open?vault=My_Data&file=06_Signals%2F2026-04-23_DILUTION_MNTS.md,My_Data,2026-04-23_DILUTION_MNTS.md,MNTS,"[""signal"",""dilution"",""mnts""]",MNTS,My_Data,Signal
mydata:signal:2026-04-23-dilution-rcat,2026-06-01,Dilution Alert — RCAT,signal,,2026-04-23,Signals,Dilution Alert — RCAT,Dilution Alert — RCAT,signal,obsidian://open?vault=My_Data&file=06_Signals%2F2026-04-23_DILUTION_RCAT.md,06_Signals/2026-04-23_DILUTION_RCAT.md,,alert,SEC EDGAR + FMP Premium,06_Signals,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\06_Signals\2026-04-23_DILUTION_RCAT.md,My_Data,06_Signals,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\06_Signals\2026-04-23_DILUTION_RCAT.md,06_Signals/2026-04-23_DILUTION_RCAT.md,obsidian://open?vault=My_Data&file=06_Signals%2F2026-04-23_DILUTION_RCAT.md,My_Data,2026-04-23_DILUTION_RCAT.md,RCAT,"[""signal"",""dilution"",""rcat""]",RCAT,My_Data,Signal
mydata:signal:2026-04-25-dilution-gev,2026-06-01,Dilution Alert — GEV,signal,,2026-04-25,Signals,Dilution Alert — GEV,Dilution Alert — GEV,signal,obsidian://open?vault=My_Data&file=06_Signals%2F2026-04-25_DILUTION_GEV.md,06_Signals/2026-04-25_DILUTION_GEV.md,,alert,SEC EDGAR + FMP Premium,06_Signals,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\06_Signals\2026-04-25_DILUTION_GEV.md,My_Data,06_Signals,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\06_Signals\2026-04-25_DILUTION_GEV.md,06_Signals/2026-04-25_DILUTION_GEV.md,obsidian://open?vault=My_Data&file=06_Signals%2F2026-04-25_DILUTION_GEV.md,My_Data,2026-04-25_DILUTION_GEV.md,GEV,"[""signal"",""dilution"",""gev""]",GEV,My_Data,Signal
mydata:signal:2026-04-27-confirm-antimicrobial-resistance-pipeline,2026-06-01,2026-04-27_CONFIRM_ANTIMICROBIAL_RESISTANCE_PIPELINE,,2026-04-27,,Signals,2026-04-27_CONFIRM_ANTIMICROBIAL_RESISTANCE_PIPELINE,2026-04-27_CONFIRM_ANTIMICROBIAL_RESISTANCE_PIPELINE,signal,obsidian://open?vault=My_Data&file=06_Signals%2F2026-04-27_CONFIRM_ANTIMICROBIAL_RESISTANCE_PIPELINE.md,06_Signals/2026-04-27_CONFIRM_ANTIMICROBIAL_RESISTANCE_PIPELINE.md,Healthcare Sector Basket,,,06_Signals,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\06_Signals\2026-04-27_CONFIRM_ANTIMICROBIAL_RESISTANCE_PIPELINE.md,My_Data,06_Signals,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\06_Signals\2026-04-27_CONFIRM_ANTIMICROBIAL_RESISTANCE_PIPELINE.md,06_Signals/2026-04-27_CONFIRM_ANTIMICROBIAL_RESISTANCE_PIPELINE.md,obsidian://open?vault=My_Data&file=06_Signals%2F2026-04-27_CONFIRM_ANTIMICROBIAL_RESISTANCE_PIPELINE.md,My_Data,2026-04-27_CONFIRM_ANTIMICROBIAL_RESISTANCE_PIPELINE.md,,"[""signal"",""sector-scan"",""confirm"",""antimicrobial-resistance-pipeline""]",,My_Data,Signal
mydata:signal:2026-04-27-fema-spike,2026-06-01,2026-04-27_FEMA_SPIKE,,2026-04-27,,Signals,2026-04-27_FEMA_SPIKE,2026-04-27_FEMA_SPIKE,signal,obsidian://open?vault=My_Data&file=06_Signals%2F2026-04-27_FEMA_SPIKE.md,06_Signals/2026-04-27_FEMA_SPIKE.md,,,,06_Signals,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\06_Signals\2026-04-27_FEMA_SPIKE.md,My_Data,06_Signals,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\06_Signals\2026-04-27_FEMA_SPIKE.md,06_Signals/2026-04-27_FEMA_SPIKE.md,obsidian://open?vault=My_Data&file=06_Signals%2F2026-04-27_FEMA_SPIKE.md,My_Data,2026-04-27_FEMA_SPIKE.md,,"[""signal"",""fema""]",,My_Data,Signal
mydata:signal:2026-04-27-generation-gap-narrowing,2026-06-01,2026-04-27_GENERATION_GAP_NARROWING,,2026-04-27,,Signals,2026-04-27_GENERATION_GAP_NARROWING,2026-04-27_GENERATION_GAP_NARROWING,signal,obsidian://open?vault=My_Data&file=06_Signals%2F2026-04-27_GENERATION_GAP_NARROWING.md,06_Signals/2026-04-27_GENERATION_GAP_NARROWING.md,,,,06_Signals,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\06_Signals\2026-04-27_GENERATION_GAP_NARROWING.md,My_Data,06_Signals,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\06_Signals\2026-04-27_GENERATION_GAP_NARROWING.md,06_Signals/2026-04-27_GENERATION_GAP_NARROWING.md,obsidian://open?vault=My_Data&file=06_Signals%2F2026-04-27_GENERATION_GAP_NARROWING.md,My_Data,2026-04-27_GENERATION_GAP_NARROWING.md,,"[""signal"",""energy"",""alert""]",,My_Data,Signal
mydata:signal:2026-04-28-confirm-antimicrobial-resistance-pipeline,2026-06-01,2026-04-28_CONFIRM_ANTIMICROBIAL_RESISTANCE_PIPELINE,,2026-04-28,,Signals,2026-04-28_CONFIRM_ANTIMICROBIAL_RESISTANCE_PIPELINE,2026-04-28_CONFIRM_ANTIMICROBIAL_RESISTANCE_PIPELINE,signal,obsidian://open?vault=My_Data&file=06_Signals%2F2026-04-28_CONFIRM_ANTIMICROBIAL_RESISTANCE_PIPELINE.md,06_Signals/2026-04-28_CONFIRM_ANTIMICROBIAL_RESISTANCE_PIPELINE.md,Healthcare Sector Basket,,,06_Signals,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\06_Signals\2026-04-28_CONFIRM_ANTIMICROBIAL_RESISTANCE_PIPELINE.md,My_Data,06_Signals,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\06_Signals\2026-04-28_CONFIRM_ANTIMICROBIAL_RESISTANCE_PIPELINE.md,06_Signals/2026-04-28_CONFIRM_ANTIMICROBIAL_RESISTANCE_PIPELINE.md,obsidian://open?vault=My_Data&file=06_Signals%2F2026-04-28_CONFIRM_ANTIMICROBIAL_RESISTANCE_PIPELINE.md,My_Data,2026-04-28_CONFIRM_ANTIMICROBIAL_RESISTANCE_PIPELINE.md,,"[""signal"",""sector-scan"",""confirm"",""antimicrobial-resistance-pipeline""]",,My_Data,Signal
mydata:signal:2026-04-28-confirm-psychedelic-mental-health-revolution,2026-06-01,2026-04-28_CONFIRM_PSYCHEDELIC_MENTAL_HEALTH_REVOLUTION,,2026-04-28,,Signals,2026-04-28_CONFIRM_PSYCHEDELIC_MENTAL_HEALTH_REVOLUTION,2026-04-28_CONFIRM_PSYCHEDELIC_MENTAL_HEALTH_REVOLUTION,signal,obsidian://open?vault=My_Data&file=06_Signals%2F2026-04-28_CONFIRM_PSYCHEDELIC_MENTAL_HEALTH_REVOLUTION.md,06_Signals/2026-04-28_CONFIRM_PSYCHEDELIC_MENTAL_HEALTH_REVOLUTION.md,Healthcare Sector Basket,,,06_Signals,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\06_Signals\2026-04-28_CONFIRM_PSYCHEDELIC_MENTAL_HEALTH_REVOLUTION.md,My_Data,06_Signals,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\06_Signals\2026-04-28_CONFIRM_PSYCHEDELIC_MENTAL_HEALTH_REVOLUTION.md,06_Signals/2026-04-28_CONFIRM_PSYCHEDELIC_MENTAL_HEALTH_REVOLUTION.md,obsidian://open?vault=My_Data&file=06_Signals%2F2026-04-28_CONFIRM_PSYCHEDELIC_MENTAL_HEALTH_REVOLUTION.md,My_Data,2026-04-28_CONFIRM_PSYCHEDELIC_MENTAL_HEALTH_REVOLUTION.md,,"[""signal"",""sector-scan"",""confirm"",""psychedelic-mental-health-revolution""]",,My_Data,Signal
mydata:signal:2026-04-28-convergence-housing-supply-correction-20260428,2026-06-01,2026-04-28_CONVERGENCE_HOUSING_SUPPLY_CORRECTION_20260428,,2026-04-28,,Signals,2026-04-28_CONVERGENCE_HOUSING_SUPPLY_CORRECTION_20260428,2026-04-28_CONVERGENCE_HOUSING_SUPPLY_CORRECTION_20260428,signal,obsidian://open?vault=My_Data&file=06_Signals%2F2026-04-28_CONVERGENCE_HOUSING_SUPPLY_CORRECTION_20260428.md,06_Signals/2026-04-28_CONVERGENCE_HOUSING_SUPPLY_CORRECTION_20260428.md,,,,06_Signals,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\06_Signals\2026-04-28_CONVERGENCE_HOUSING_SUPPLY_CORRECTION_20260428.md,My_Data,06_Signals,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\06_Signals\2026-04-28_CONVERGENCE_HOUSING_SUPPLY_CORRECTION_20260428.md,06_Signals/2026-04-28_CONVERGENCE_HOUSING_SUPPLY_CORRECTION_20260428.md,obsidian://open?vault=My_Data&file=06_Signals%2F2026-04-28_CONVERGENCE_HOUSING_SUPPLY_CORRECTION_20260428.md,My_Data,2026-04-28_CONVERGENCE_HOUSING_SUPPLY_CORRECTION_20260428.md,,"[""signal"",""convergence"",""cross-domain"",""housing_supply_correction""]",,My_Data,Signal
mydata:signal:2026-04-28-fema-spike,2026-06-01,2026-04-28_FEMA_SPIKE,,2026-04-28,,Signals,2026-04-28_FEMA_SPIKE,2026-04-28_FEMA_SPIKE,signal,obsidian://open?vault=My_Data&file=06_Signals%2F2026-04-28_FEMA_SPIKE.md,06_Signals/2026-04-28_FEMA_SPIKE.md,,,,06_Signals,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\06_Signals\2026-04-28_FEMA_SPIKE.md,My_Data,06_Signals,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\06_Signals\2026-04-28_FEMA_SPIKE.md,06_Signals/2026-04-28_FEMA_SPIKE.md,obsidian://open?vault=My_Data&file=06_Signals%2F2026-04-28_FEMA_SPIKE.md,My_Data,2026-04-28_FEMA_SPIKE.md,,"[""signal"",""fema""]",,My_Data,Signal
