id,labels,name,canonicalName,label,vault,relativePath,obsidianUrl,sourcePath,sourceVault,sourceFolder,nodeType,domain,subdomain,assetClass,sector,industry,country,jurisdiction,tags,status,signalStatus,confidence,conviction,timeframe,frequency,lastUpdated,date,asOfDate,ticker,exchange,symbol,currency,instrumentType,currentValue,trend,source,provider,dataType,datePulled,freshnessDate,summary,url
world:evidenceartifact:2026-05-13-eod-vault-state-report,EvidenceArtifact,2026-05-13 - EOD Vault State Report,2026-05-13 - EOD Vault State Report,2026-05-13 - EOD Vault State Report,World_Machine,Reports/EOD/2026-05-13 - EOD Vault State Report.md,obsidian://open?vault=World_Machine&file=Reports%2FEOD%2F2026-05-13%20-%20EOD%20Vault%20State%20Report.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\EOD\2026-05-13 - EOD Vault State Report.md,World_Machine,Reports,evidenceartifact,Reports,EOD,,,,,,report;eod;vault-state;macro;strategy;detective-brief,active,alert,,,,,,2026-05-13,2026-06-01,,,,,,,,,,report,,,,
world:evidenceartifact:2026-05-14-eod-vault-state-report,EvidenceArtifact,2026-05-14 - EOD Vault State Report,2026-05-14 - EOD Vault State Report,2026-05-14 - EOD Vault State Report,World_Machine,Reports/EOD/2026-05-14 - EOD Vault State Report.md,obsidian://open?vault=World_Machine&file=Reports%2FEOD%2F2026-05-14%20-%20EOD%20Vault%20State%20Report.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\EOD\2026-05-14 - EOD Vault State Report.md,World_Machine,Reports,evidenceartifact,Reports,EOD,,,,,,report;eod;vault-state;macro;strategy;detective-brief,active,alert,,,,,,2026-05-14,2026-06-01,,,,,,,,,,report,,,,
world:evidenceartifact:2026-05-15-daily-briefing,EvidenceArtifact,Daily Briefing - 2026-05-15,Daily Briefing - 2026-05-15,Daily Briefing - 2026-05-15,World_Machine,Reports/Daily/Briefings/2026-05-15 Daily Briefing.md,obsidian://open?vault=World_Machine&file=Reports%2FDaily%2FBriefings%2F2026-05-15%20Daily%20Briefing.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\Daily\Briefings\2026-05-15 Daily Briefing.md,World_Machine,Reports,evidenceartifact,Reports,Daily,,,,,,world-machine-review;briefing;daily,,,,,,,,,2026-06-01,,,,,,,,World Machine Review Flow,,briefing,2026-05-15,,,
world:evidenceartifact:2026-05-15-daily-monitoring-snapshot,EvidenceArtifact,Daily Monitoring Snapshot - 2026-05-15,Daily Monitoring Snapshot - 2026-05-15,Daily Monitoring Snapshot - 2026-05-15,World_Machine,Reports/Daily/Monitoring/2026-05-15 Daily Monitoring Snapshot.md,obsidian://open?vault=World_Machine&file=Reports%2FDaily%2FMonitoring%2F2026-05-15%20Daily%20Monitoring%20Snapshot.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\Daily\Monitoring\2026-05-15 Daily Monitoring Snapshot.md,World_Machine,Reports,evidenceartifact,Reports,Daily,,,,,,world-machine-review;monitoring_snapshot;daily,,,,,,,,,2026-06-01,,,,,,,,World Machine Review Flow,,monitoring_snapshot,2026-05-15,,,
world:evidenceartifact:2026-05-15-end-of-day-briefing,EvidenceArtifact,End Of Day Briefing - 2026-05-15,End Of Day Briefing - 2026-05-15,End Of Day Briefing - 2026-05-15,World_Machine,Reports/EOD/Briefings/2026-05-15 End Of Day Briefing.md,obsidian://open?vault=World_Machine&file=Reports%2FEOD%2FBriefings%2F2026-05-15%20End%20Of%20Day%20Briefing.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\EOD\Briefings\2026-05-15 End Of Day Briefing.md,World_Machine,Reports,evidenceartifact,Reports,EOD,,,,,,world-machine-review;briefing;endofday,,,,,,,,,2026-06-01,,,,,,,,World Machine Review Flow,,briefing,2026-05-15,,,
world:evidenceartifact:2026-05-15-end-of-day-monitoring-snapshot,EvidenceArtifact,End Of Day Monitoring Snapshot - 2026-05-15,End Of Day Monitoring Snapshot - 2026-05-15,End Of Day Monitoring Snapshot - 2026-05-15,World_Machine,Reports/EOD/Monitoring/2026-05-15 End Of Day Monitoring Snapshot.md,obsidian://open?vault=World_Machine&file=Reports%2FEOD%2FMonitoring%2F2026-05-15%20End%20Of%20Day%20Monitoring%20Snapshot.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\EOD\Monitoring\2026-05-15 End Of Day Monitoring Snapshot.md,World_Machine,Reports,evidenceartifact,Reports,EOD,,,,,,world-machine-review;monitoring_snapshot;endofday,,,,,,,,,2026-06-01,,,,,,,,World Machine Review Flow,,monitoring_snapshot,2026-05-15,,,
world:evidenceartifact:2026-05-15-eod-digest,EvidenceArtifact,2026-05-15_EOD_Digest,2026-05-15_EOD_Digest,2026-05-15_EOD_Digest,World_Machine,Reports/EOD/Briefings/2026-05-15_EOD_Digest.md,obsidian://open?vault=World_Machine&file=Reports%2FEOD%2FBriefings%2F2026-05-15_EOD_Digest.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\EOD\Briefings\2026-05-15_EOD_Digest.md,World_Machine,Reports,evidenceartifact,Reports,EOD,,,,,,,,,,,,,,2026-05-15,2026-06-01,,,,,,,,,,eod_digest,,,,
world:evidenceartifact:2026-05-15-midday-monitoring-snapshot,EvidenceArtifact,Midday Monitoring Snapshot - 2026-05-15,Midday Monitoring Snapshot - 2026-05-15,Midday Monitoring Snapshot - 2026-05-15,World_Machine,Reports/Midday/Monitoring/2026-05-15 Midday Monitoring Snapshot.md,obsidian://open?vault=World_Machine&file=Reports%2FMidday%2FMonitoring%2F2026-05-15%20Midday%20Monitoring%20Snapshot.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\Midday\Monitoring\2026-05-15 Midday Monitoring Snapshot.md,World_Machine,Reports,evidenceartifact,Reports,Midday,,,,,,world-machine-review;monitoring_snapshot;midday,,,,,,,,,2026-06-01,,,,,,,,World Machine Review Flow,,monitoring_snapshot,2026-05-15,,,
world:evidenceartifact:2026-05-15-preclose-monitoring-snapshot,EvidenceArtifact,Preclose Monitoring Snapshot - 2026-05-15,Preclose Monitoring Snapshot - 2026-05-15,Preclose Monitoring Snapshot - 2026-05-15,World_Machine,Reports/Preclose/Monitoring/2026-05-15 Preclose Monitoring Snapshot.md,obsidian://open?vault=World_Machine&file=Reports%2FPreclose%2FMonitoring%2F2026-05-15%20Preclose%20Monitoring%20Snapshot.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\Preclose\Monitoring\2026-05-15 Preclose Monitoring Snapshot.md,World_Machine,Reports,evidenceartifact,Reports,Preclose,,,,,,world-machine-review;monitoring_snapshot;preclose,,,,,,,,,2026-06-01,,,,,,,,World Machine Review Flow,,monitoring_snapshot,2026-05-15,,,
world:evidenceartifact:2026-05-15-premarket-monitoring-snapshot,EvidenceArtifact,Premarket Monitoring Snapshot - 2026-05-15,Premarket Monitoring Snapshot - 2026-05-15,Premarket Monitoring Snapshot - 2026-05-15,World_Machine,Reports/Premarket/Monitoring/2026-05-15 Premarket Monitoring Snapshot.md,obsidian://open?vault=World_Machine&file=Reports%2FPremarket%2FMonitoring%2F2026-05-15%20Premarket%20Monitoring%20Snapshot.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\Premarket\Monitoring\2026-05-15 Premarket Monitoring Snapshot.md,World_Machine,Reports,evidenceartifact,Reports,Premarket,,,,,,world-machine-review;monitoring_snapshot;premarket,,,,,,,,,2026-06-01,,,,,,,,World Machine Review Flow,,monitoring_snapshot,2026-05-15,,,
world:evidenceartifact:2026-05-16-18-50,EvidenceArtifact,2026-05-16_18-50,2026-05-16_18-50,2026-05-16_18-50,World_Machine,Reports/System/run_summaries/2026-05-16_18-50.md,obsidian://open?vault=World_Machine&file=Reports%2FSystem%2Frun_summaries%2F2026-05-16_18-50.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\System\run_summaries\2026-05-16_18-50.md,World_Machine,Reports,evidenceartifact,Reports,System,,,,,,,,,,,,,,2026-05-16,2026-06-01,,,,,,,,,,run_summary,,,,
world:evidenceartifact:2026-05-16-daily-briefing,EvidenceArtifact,Daily Briefing - 2026-05-16,Daily Briefing - 2026-05-16,Daily Briefing - 2026-05-16,World_Machine,Reports/Daily/Briefings/2026-05-16 Daily Briefing.md,obsidian://open?vault=World_Machine&file=Reports%2FDaily%2FBriefings%2F2026-05-16%20Daily%20Briefing.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\Daily\Briefings\2026-05-16 Daily Briefing.md,World_Machine,Reports,evidenceartifact,Reports,Daily,,,,,,world-machine-review;briefing;daily,,,,,,,,,2026-06-01,,,,,,,,World Machine Review Flow,,briefing,2026-05-16,,,
world:evidenceartifact:2026-05-16-daily-monitoring-snapshot,EvidenceArtifact,Daily Monitoring Snapshot - 2026-05-16,Daily Monitoring Snapshot - 2026-05-16,Daily Monitoring Snapshot - 2026-05-16,World_Machine,Reports/Daily/Monitoring/2026-05-16 Daily Monitoring Snapshot.md,obsidian://open?vault=World_Machine&file=Reports%2FDaily%2FMonitoring%2F2026-05-16%20Daily%20Monitoring%20Snapshot.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\Daily\Monitoring\2026-05-16 Daily Monitoring Snapshot.md,World_Machine,Reports,evidenceartifact,Reports,Daily,,,,,,world-machine-review;monitoring_snapshot;daily,,,,,,,,,2026-06-01,,,,,,,,World Machine Review Flow,,monitoring_snapshot,2026-05-16,,,
world:evidenceartifact:2026-05-16-eod-digest,EvidenceArtifact,2026-05-16_EOD_Digest,2026-05-16_EOD_Digest,2026-05-16_EOD_Digest,World_Machine,Reports/EOD/Briefings/2026-05-16_EOD_Digest.md,obsidian://open?vault=World_Machine&file=Reports%2FEOD%2FBriefings%2F2026-05-16_EOD_Digest.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\EOD\Briefings\2026-05-16_EOD_Digest.md,World_Machine,Reports,evidenceartifact,Reports,EOD,,,,,,,,,,,,,,2026-05-16,2026-06-01,,,,,,,,,,eod_digest,,,,
world:evidenceartifact:2026-05-18-09-45,EvidenceArtifact,2026-05-18_09-45,2026-05-18_09-45,2026-05-18_09-45,World_Machine,Reports/System/run_summaries/2026-05-18_09-45.md,obsidian://open?vault=World_Machine&file=Reports%2FSystem%2Frun_summaries%2F2026-05-18_09-45.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\System\run_summaries\2026-05-18_09-45.md,World_Machine,Reports,evidenceartifact,Reports,System,,,,,,,,,,,,,,2026-05-18,2026-06-01,,,,,,,,,,run_summary,,,,
world:evidenceartifact:2026-05-18-12-30,EvidenceArtifact,2026-05-18_12-30,2026-05-18_12-30,2026-05-18_12-30,World_Machine,Reports/System/run_summaries/2026-05-18_12-30.md,obsidian://open?vault=World_Machine&file=Reports%2FSystem%2Frun_summaries%2F2026-05-18_12-30.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\System\run_summaries\2026-05-18_12-30.md,World_Machine,Reports,evidenceartifact,Reports,System,,,,,,,,,,,,,,2026-05-18,2026-06-01,,,,,,,,,,run_summary,,,,
world:evidenceartifact:2026-05-18-midday-monitoring-snapshot,EvidenceArtifact,Midday Monitoring Snapshot - 2026-05-18,Midday Monitoring Snapshot - 2026-05-18,Midday Monitoring Snapshot - 2026-05-18,World_Machine,Reports/Midday/Monitoring/2026-05-18 Midday Monitoring Snapshot.md,obsidian://open?vault=World_Machine&file=Reports%2FMidday%2FMonitoring%2F2026-05-18%20Midday%20Monitoring%20Snapshot.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\Midday\Monitoring\2026-05-18 Midday Monitoring Snapshot.md,World_Machine,Reports,evidenceartifact,Reports,Midday,,,,,,world-machine-review;monitoring_snapshot;midday,,,,,,,,,2026-06-01,,,,,,,,World Machine Review Flow,,monitoring_snapshot,2026-05-18,,,
world:evidenceartifact:2026-05-19-09-57,EvidenceArtifact,2026-05-19_09-57,2026-05-19_09-57,2026-05-19_09-57,World_Machine,Reports/System/run_summaries/2026-05-19_09-57.md,obsidian://open?vault=World_Machine&file=Reports%2FSystem%2Frun_summaries%2F2026-05-19_09-57.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\System\run_summaries\2026-05-19_09-57.md,World_Machine,Reports,evidenceartifact,Reports,System,,,,,,,,,,,,,,2026-05-19,2026-06-01,,,,,,,,,,run_summary,,,,
world:evidenceartifact:2026-05-19-12-30,EvidenceArtifact,2026-05-19_12-30,2026-05-19_12-30,2026-05-19_12-30,World_Machine,Reports/System/run_summaries/2026-05-19_12-30.md,obsidian://open?vault=World_Machine&file=Reports%2FSystem%2Frun_summaries%2F2026-05-19_12-30.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\System\run_summaries\2026-05-19_12-30.md,World_Machine,Reports,evidenceartifact,Reports,System,,,,,,,,,,,,,,2026-05-19,2026-06-01,,,,,,,,,,run_summary,,,,
