id,source_id,target_id,type,weight,status,summary,command
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUMMARIZES_SOURCE:source:10-themes-fed-speeches-and-fomc-communications-transcript-shelia-bair-former-fdic-chair-md,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,source:10-themes-fed-speeches-and-fomc-communications-transcript-shelia-bair-former-fdic-chair-md,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUMMARIZES_SOURCE:source:10-themes-fed-speeches-and-fomc-communications-us-market-call-fomo-vs-femo-fabulous-earnings-mom,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,source:10-themes-fed-speeches-and-fomc-communications-us-market-call-fomo-vs-femo-fabulous-earnings-mom,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUMMARIZES_SOURCE:source:10-themes-geopolitics-and-capital-flows-kushner-disappoints-mideast-clients-who-spent-millions-s,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,source:10-themes-geopolitics-and-capital-flows-kushner-disappoints-mideast-clients-who-spent-millions-s,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUMMARIZES_SOURCE:source:10-themes-macro-regime-and-economic-data-economic-week-ahead-may-25-29-md,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,source:10-themes-macro-regime-and-economic-data-economic-week-ahead-may-25-29-md,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUMMARIZES_SOURCE:source:10-themes-macro-regime-and-economic-data-the-daily-spark-md,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,source:10-themes-macro-regime-and-economic-data-the-daily-spark-md,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUMMARIZES_SOURCE:source:10-themes-macro-regime-and-economic-data-updated-bond-view-time-to-opportunistically-rotate-cash,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,source:10-themes-macro-regime-and-economic-data-updated-bond-view-time-to-opportunistically-rotate-cash,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUMMARIZES_SOURCE:source:10-themes-policy-regulation-and-institutions-the-supreme-court-just-told-every-freight-broker-th,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,source:10-themes-policy-regulation-and-institutions-the-supreme-court-just-told-every-freight-broker-th,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUMMARIZES_SOURCE:source:10-themes-research-learning-and-tools-wealth-is-righteously-earned-and-poverty-is-righteously-di,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,source:10-themes-research-learning-and-tools-wealth-is-righteously-earned-and-poverty-is-righteously-di,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUMMARIZES_SOURCE:source:10-themes-strategy-setups-and-watchpoints-market-mechanics-or-fundamentals-whats-behind-this-ral,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,source:10-themes-strategy-setups-and-watchpoints-market-mechanics-or-fundamentals-whats-behind-this-ral,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:SUMMARIZES_SOURCE:source:10-themes-strategy-setups-and-watchpoints-may-18-2026-morning-briefing-md,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,source:10-themes-strategy-setups-and-watchpoints-may-18-2026-morning-briefing-md,SUMMARIZES_SOURCE,1,alert,Candidate summarizes this World_Machine inbox source item.,
