id,labels,name,canonicalName,label,vault,relativePath,obsidianUrl,sourcePath,sourceVault,sourceFolder,nodeType,domain,subdomain,assetClass,sector,industry,country,jurisdiction,tags,status,signalStatus,confidence,conviction,timeframe,frequency,lastUpdated,date,asOfDate,ticker,exchange,symbol,currency,instrumentType,currentValue,trend,source,provider,dataType,datePulled,freshnessDate,summary,url
mydata:thesis:aerospace-defense-sector-basket,Thesis,Aerospace & Defense Sector Basket,Aerospace & Defense Sector Basket,Aerospace & Defense Sector Basket,My_Data,10_Theses/Baskets/Aerospace & Defense Sector Basket.md,obsidian://open?vault=My_Data&file=10_Theses%2FBaskets%2FAerospace%20%26%20Defense%20Sector%20Basket.md,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\10_Theses\Baskets\Aerospace & Defense Sector Basket.md,My_Data,10_Theses,thesis,Theses,Baskets,,,,,,thesis;sector;aerospace-defense,Active,,,medium,medium,,,,2026-06-01,,,,,,,,,,,,,,
mydata:thesis:ai-power-defense-stack,Thesis,AI Power Defense Stack,AI Power Defense Stack,AI Power Defense Stack,My_Data,10_Theses/AI Power Defense Stack.md,obsidian://open?vault=My_Data&file=10_Theses%2FAI%20Power%20Defense%20Stack.md,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\10_Theses\AI Power Defense Stack.md,My_Data,10_Theses,thesis,Theses,AI Power Defense Stack.md,,,,,,thesis;bridge;ai;defense;power;infrastructure,Active,,,medium,medium,,,,2026-06-01,,,,,,,,,,,,,,
mydata:thesis:ai-power-infrastructure,Thesis,AI Power Infrastructure,AI Power Infrastructure,AI Power Infrastructure,My_Data,10_Theses/AI Power Infrastructure.md,obsidian://open?vault=My_Data&file=10_Theses%2FAI%20Power%20Infrastructure.md,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\10_Theses\AI Power Infrastructure.md,My_Data,10_Theses,thesis,Theses,AI Power Infrastructure.md,,,,,,thesis;energy;ai-infrastructure;power;utilities;data-centers,Active,,,high,medium,,,,2026-06-01,,,,,,,,,,,,,,
mydata:thesis:alzheimers-disease-modification,Thesis,Alzheimer's Disease Modification,Alzheimer's Disease Modification,Alzheimer's Disease Modification,My_Data,10_Theses/Alzheimers Disease Modification.md,obsidian://open?vault=My_Data&file=10_Theses%2FAlzheimers%20Disease%20Modification.md,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\10_Theses\Alzheimers Disease Modification.md,My_Data,10_Theses,thesis,Theses,Alzheimers Disease Modification.md,,,,,,thesis;biotech;neurology;alzheimers;cns;disease-modification,Active,,,medium,long,,,,2026-06-01,,,,,,,,,,,,,,
mydata:thesis:antimicrobial-resistance-pipeline,Thesis,Antimicrobial Resistance Pipeline,Antimicrobial Resistance Pipeline,Antimicrobial Resistance Pipeline,My_Data,10_Theses/Antimicrobial Resistance Pipeline.md,obsidian://open?vault=My_Data&file=10_Theses%2FAntimicrobial%20Resistance%20Pipeline.md,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\10_Theses\Antimicrobial Resistance Pipeline.md,My_Data,10_Theses,thesis,Theses,Antimicrobial Resistance Pipeline.md,,,,,,thesis;biotech;amr;antibiotics;barda;government,Active,,,medium,long,,,,2026-06-01,,,,,,,,,,,,,,
mydata:thesis:bioengineered-food-systems,Thesis,Bioengineered Food Systems,Bioengineered Food Systems,Bioengineered Food Systems,My_Data,10_Theses/Bioengineered Food Systems.md,obsidian://open?vault=My_Data&file=10_Theses%2FBioengineered%20Food%20Systems.md,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\10_Theses\Bioengineered Food Systems.md,My_Data,10_Theses,thesis,Theses,Bioengineered Food Systems.md,,,,,,thesis;biofood;synthetic-biology;food-systems;agtech;precision-fermentation,Active,,,low,long,,,,2026-06-01,,,,,,,,,,,,,,
mydata:thesis:biosecurity-compute-convergence,Thesis,Biosecurity Compute Convergence,Biosecurity Compute Convergence,Biosecurity Compute Convergence,My_Data,10_Theses/Biosecurity Compute Convergence.md,obsidian://open?vault=My_Data&file=10_Theses%2FBiosecurity%20Compute%20Convergence.md,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\10_Theses\Biosecurity Compute Convergence.md,My_Data,10_Theses,thesis,Theses,Biosecurity Compute Convergence.md,,,,,,thesis;bridge;biotech;ai;compute;infrastructure,Active,,,medium,long,,,,2026-06-01,,,,,,,,,,,,,,
mydata:thesis:buffett-style-quality-compounders,Thesis,Buffett Style Quality Compounders,Buffett Style Quality Compounders,Buffett Style Quality Compounders,My_Data,10_Theses/Baskets/Buffett Style Quality Compounders.md,obsidian://open?vault=My_Data&file=10_Theses%2FBaskets%2FBuffett%20Style%20Quality%20Compounders.md,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\10_Theses\Baskets\Buffett Style Quality Compounders.md,My_Data,10_Theses,thesis,Theses,Baskets,,,,,,thesis;strategy;buffett;quality,Active,,,medium,long,,,,2026-06-01,,,,,,,,,,,,,,
mydata:thesis:capital-raise-survivors-small-cap-inflection-basket,Thesis,Capital Raise Survivors / Small-Cap Inflection Basket,Capital Raise Survivors / Small-Cap Inflection Basket,Capital Raise Survivors / Small-Cap Inflection Basket,My_Data,10_Theses/Capital Raise Survivors Small-Cap Inflection Basket.md,obsidian://open?vault=My_Data&file=10_Theses%2FCapital%20Raise%20Survivors%20Small-Cap%20Inflection%20Basket.md,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\10_Theses\Capital Raise Survivors Small-Cap Inflection Basket.md,My_Data,10_Theses,thesis,Theses,Capital Raise Survivors Small-Cap Inflection Basket.md,,,,,,thesis;smallcap;capital-raise;dilution;inflection;special-situations,Active,,,low,short-medium,,,,2026-06-01,,,,,,,,,,,,,,
mydata:thesis:communication-services-sector-basket,Thesis,Communication Services Sector Basket,Communication Services Sector Basket,Communication Services Sector Basket,My_Data,10_Theses/Baskets/Communication Services Sector Basket.md,obsidian://open?vault=My_Data&file=10_Theses%2FBaskets%2FCommunication%20Services%20Sector%20Basket.md,C:\Users\CaveUser\Documents\Obsidian Vault\My_Data\10_Theses\Baskets\Communication Services Sector Basket.md,My_Data,10_Theses,thesis,Theses,Baskets,,,,,,thesis;sector;communication-services,Active,,,medium,medium,,,,2026-06-01,,,,,,,,,,,,,,
