id,source_id,target_id,type,weight,status,summary,command
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:MAPS_TO_SCENARIO:scenario:fertilizer-shortage,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,scenario:fertilizer-shortage,MAPS_TO_SCENARIO,2,alert,Candidate maps to an existing seeded event-research scenario.,node run.mjs pull event-research --scenario fertilizer-shortage --dry-run
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:MAPS_TO_SCENARIO:scenario:hormuz-oil-shock,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,scenario:hormuz-oil-shock,MAPS_TO_SCENARIO,2,alert,Candidate maps to an existing seeded event-research scenario.,node run.mjs pull event-research --scenario hormuz-oil-shock --dry-run
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:MAPS_TO_SCENARIO:scenario:glp1-supply-chain-shortage,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,scenario:glp1-supply-chain-shortage,MAPS_TO_SCENARIO,2,alert,Candidate maps to an existing seeded event-research scenario.,node run.mjs pull event-research --scenario glp1-supply-chain-shortage --dry-run
rel:candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl:MAPS_TO_SCENARIO:scenario:glp1-supply-chain-shortage,candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,scenario:glp1-supply-chain-shortage,MAPS_TO_SCENARIO,2,alert,Candidate maps to an existing seeded event-research scenario.,node run.mjs pull event-research --scenario glp1-supply-chain-shortage --dry-run
rel:candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d:MAPS_TO_SCENARIO:scenario:ai-data-center-power-bottleneck,candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d,scenario:ai-data-center-power-bottleneck,MAPS_TO_SCENARIO,2,alert,Candidate maps to an existing seeded event-research scenario.,node run.mjs pull event-research --scenario ai-data-center-power-bottleneck --dry-run
rel:candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d:MAPS_TO_SCENARIO:scenario:copper-supply-bottleneck,candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d,scenario:copper-supply-bottleneck,MAPS_TO_SCENARIO,2,alert,Candidate maps to an existing seeded event-research scenario.,node run.mjs pull event-research --scenario copper-supply-bottleneck --dry-run
rel:candidate:2026-05-25-existing-scenario-connection-market-structure-vs-fundamentals:MAPS_TO_SCENARIO:scenario:ai-data-center-power-bottleneck,candidate:2026-05-25-existing-scenario-connection-market-structure-vs-fundamentals,scenario:ai-data-center-power-bottleneck,MAPS_TO_SCENARIO,2,watch,Candidate maps to an existing seeded event-research scenario.,node run.mjs pull event-research --scenario ai-data-center-power-bottleneck --dry-run
rel:candidate:2026-05-25-existing-scenario-connection-market-structure-vs-fundamentals:MAPS_TO_SCENARIO:scenario:copper-supply-bottleneck,candidate:2026-05-25-existing-scenario-connection-market-structure-vs-fundamentals,scenario:copper-supply-bottleneck,MAPS_TO_SCENARIO,2,watch,Candidate maps to an existing seeded event-research scenario.,node run.mjs pull event-research --scenario copper-supply-bottleneck --dry-run
rel:candidate:2026-05-25-existing-scenario-connection-policy-legal-friction-hormuz-oil:MAPS_TO_SCENARIO:scenario:hormuz-oil-shock,candidate:2026-05-25-existing-scenario-connection-policy-legal-friction-hormuz-oil,scenario:hormuz-oil-shock,MAPS_TO_SCENARIO,2,watch,Candidate maps to an existing seeded event-research scenario.,node run.mjs pull event-research --scenario hormuz-oil-shock --dry-run
rel:candidate:2026-05-25-existing-scenario-connection-policy-legal-friction-hormuz-oil:MAPS_TO_SCENARIO:scenario:fertilizer-shortage,candidate:2026-05-25-existing-scenario-connection-policy-legal-friction-hormuz-oil,scenario:fertilizer-shortage,MAPS_TO_SCENARIO,2,watch,Candidate maps to an existing seeded event-research scenario.,node run.mjs pull event-research --scenario fertilizer-shortage --dry-run
rel:candidate:2026-05-25-source-gap-followup-geopolitics-capital-access-hormuz-oil-sho:MAPS_TO_SCENARIO:scenario:hormuz-oil-shock,candidate:2026-05-25-source-gap-followup-geopolitics-capital-access-hormuz-oil-sho,scenario:hormuz-oil-shock,MAPS_TO_SCENARIO,2,watch,Candidate maps to an existing seeded event-research scenario.,node run.mjs pull event-research --scenario hormuz-oil-shock --dry-run
