id,labels,name,canonicalName,label,vault,relativePath,obsidianUrl,sourcePath,sourceVault,sourceFolder,nodeType,domain,subdomain,assetClass,sector,industry,country,jurisdiction,tags,status,signalStatus,confidence,conviction,timeframe,frequency,lastUpdated,date,asOfDate,ticker,exchange,symbol,currency,instrumentType,currentValue,trend,source,provider,dataType,datePulled,freshnessDate,summary,url
world:sector:accommodation-and-food-services,Sector;Entity,Accommodation and Food Services,Accommodation and Food Services,Accommodation and Food Services,World_Machine,Entities/Sectors/Accommodation and Food Services.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FAccommodation%20and%20Food%20Services.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Accommodation and Food Services.md,World_Machine,Entities,sector,Entities,Sectors,,,,,,inbox;sector-report;ibisworld;hospitality;restaurants;consumer,inbox,,,,,,,2026-05-12,2026-06-01,,,,,,,,,,sector-report,,,,
world:sector:aerospace-defense,Sector;Entity,Aerospace & Defense,Aerospace & Defense,Aerospace & Defense,World_Machine,Entities/Sectors/Aerospace & Defense.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FAerospace%20%26%20Defense.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Aerospace & Defense.md,World_Machine,Entities,sector,Entities,Sectors,,,,,,sector;defense;drones;aerospace,Active,,,,,,,,2026-06-01,,,,,,,,,,,,,,
world:sector:agriculture-forestry-fishing-and-hunting,Sector;Entity,Agriculture Forestry Fishing and Hunting,Agriculture Forestry Fishing and Hunting,Agriculture Forestry Fishing and Hunting,World_Machine,Entities/Sectors/Agriculture Forestry Fishing and Hunting.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FAgriculture%20Forestry%20Fishing%20and%20Hunting.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Agriculture Forestry Fishing and Hunting.md,World_Machine,Entities,sector,Entities,Sectors,,,,,,inbox;sector-report;ibisworld;agriculture;commodities,inbox,,,,,,,2026-05-12,2026-06-01,,,,,,,,,,sector-report,,,,
world:sector:arts-entertainment-and-recreation,Sector;Entity,Arts Entertainment and Recreation,Arts Entertainment and Recreation,Arts Entertainment and Recreation,World_Machine,Entities/Sectors/Arts Entertainment and Recreation.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FArts%20Entertainment%20and%20Recreation.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Arts Entertainment and Recreation.md,World_Machine,Entities,sector,Entities,Sectors,,,,,,inbox;sector-report;ibisworld;entertainment;recreation;consumer,inbox,,,,,,,2026-05-12,2026-06-01,,,,,,,,,,sector-report,,,,
world:sector:communication-services,Sector;Entity,Communication Services,Communication Services,Communication Services,World_Machine,Entities/Sectors/Communication Services.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FCommunication%20Services.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Communication Services.md,World_Machine,Entities,sector,Entities,Sectors,,,,,,sector,Active,,,,,,,,2026-06-01,,,,,,,,,,,,,,
world:sector:construction,Sector;Entity,Construction,Construction,Construction,World_Machine,Entities/Sectors/Construction.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FConstruction.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Construction.md,World_Machine,Entities,sector,Entities,Sectors,,,,,,inbox;sector-report;ibisworld;construction;rates;infrastructure,inbox,,,,,,,2026-05-12,2026-06-01,,,,,,,,,,sector-report,,,,
world:sector:consumer-discretionary,Sector;Entity,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,World_Machine,Entities/Sectors/Consumer Discretionary.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FConsumer%20Discretionary.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Consumer Discretionary.md,World_Machine,Entities,sector,Entities,Sectors,,,,,,sector,Active,,,,,,,,2026-06-01,,,,,,,,,,,,,,
world:sector:consumer-staples,Sector;Entity,Consumer Staples,Consumer Staples,Consumer Staples,World_Machine,Entities/Sectors/Consumer Staples.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FConsumer%20Staples.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Consumer Staples.md,World_Machine,Entities,sector,Entities,Sectors,,,,,,sector,Active,,,,,,,,2026-06-01,,,,,,,,,,,,,,
world:sector:defense,Sector;Entity,defense,defense,defense,,,,,,,sector,Entities,,,,,,,,,,,,,,,,2026-06-01,,,,,,,,,,,,,,
world:sector:educational-services,Sector;Entity,Educational Services,Educational Services,Educational Services,World_Machine,Entities/Sectors/Educational Services.md,obsidian://open?vault=World_Machine&file=Entities%2FSectors%2FEducational%20Services.md,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Entities\Sectors\Educational Services.md,World_Machine,Entities,sector,Entities,Sectors,,,,,,inbox;sector-report;ibisworld;education;policy;labor,inbox,,,,,,,2026-05-12,2026-06-01,,,,,,,,,,sector-report,,,,
