id,label,name,date,kind,status,score,route,source_count,evidence_count,summary,vault,relative_path,obsidian_url,command,tags
source:10-themes-fed-speeches-and-fomc-communications-transcript-shelia-bair-former-fdic-chair-md,SourceItem,"Transcript_ Shelia Bair, former FDIC Chair",2026-05-25,world-machine-inbox-source,,,03_Macro_and_Economy/Observations,,,Archived World_Machine inbox source item routed to 03_Macro_and_Economy/Observations.,World_Machine,"10_Themes/Fed Speeches and FOMC Communications/Transcript_ Shelia Bair, former FDIC Chair.md",obsidian://open?vault=World_Machine&file=10_Themes%2FFed%20Speeches%20and%20FOMC%20Communications%2FTranscript_%20Shelia%20Bair%2C%20former%20FDIC%20Chair.md,,source-item;world-machine-inbox
source:10-themes-fed-speeches-and-fomc-communications-us-market-call-fomo-vs-femo-fabulous-earnings-mom,SourceItem,US MARKET CALL_ FOMO vs FEMO (Fabulous Earnings Momentum),2026-05-25,world-machine-inbox-source,,,03_Macro_and_Economy/Observations,,,Archived World_Machine inbox source item routed to 03_Macro_and_Economy/Observations.,World_Machine,10_Themes/Fed Speeches and FOMC Communications/US MARKET CALL_ FOMO vs FEMO (Fabulous Earnings Momentum).md,obsidian://open?vault=World_Machine&file=10_Themes%2FFed%20Speeches%20and%20FOMC%20Communications%2FUS%20MARKET%20CALL_%20FOMO%20vs%20FEMO%20(Fabulous%20Earnings%20Momentum).md,,source-item;world-machine-inbox
source:10-themes-geopolitics-and-capital-flows-kushner-disappoints-mideast-clients-who-spent-millions-s,SourceItem,Kushner Disappoints Mideast Clients Who Spent Millions Seeking Sway,2026-05-25,world-machine-inbox-source,,,03_Macro_and_Economy/Observations,,,Archived World_Machine inbox source item routed to 03_Macro_and_Economy/Observations.,World_Machine,10_Themes/Geopolitics and Capital Flows/Kushner Disappoints Mideast Clients Who Spent Millions Seeking Sway.md,obsidian://open?vault=World_Machine&file=10_Themes%2FGeopolitics%20and%20Capital%20Flows%2FKushner%20Disappoints%20Mideast%20Clients%20Who%20Spent%20Millions%20Seeking%20Sway.md,,source-item;world-machine-inbox
source:10-themes-macro-regime-and-economic-data-economic-week-ahead-may-25-29-md,SourceItem,ECONOMIC WEEK AHEAD_ May 25-29,2026-05-25,world-machine-inbox-source,,,03_Macro_and_Economy/Observations,,,Archived World_Machine inbox source item routed to 03_Macro_and_Economy/Observations.,World_Machine,10_Themes/Macro Regime and Economic Data/ECONOMIC WEEK AHEAD_ May 25-29.md,obsidian://open?vault=World_Machine&file=10_Themes%2FMacro%20Regime%20and%20Economic%20Data%2FECONOMIC%20WEEK%20AHEAD_%20May%2025-29.md,,source-item;world-machine-inbox
source:10-themes-macro-regime-and-economic-data-the-daily-spark-md,SourceItem,The Daily Spark,2026-05-25,world-machine-inbox-source,,,03_Macro_and_Economy/Observations,,,Archived World_Machine inbox source item routed to 03_Macro_and_Economy/Observations.,World_Machine,10_Themes/Macro Regime and Economic Data/The Daily Spark.md,obsidian://open?vault=World_Machine&file=10_Themes%2FMacro%20Regime%20and%20Economic%20Data%2FThe%20Daily%20Spark.md,,source-item;world-machine-inbox
source:10-themes-macro-regime-and-economic-data-updated-bond-view-time-to-opportunistically-rotate-cash,SourceItem,Updated Bond View – Time to Opportunistically Rotate Cash to Bonds but Diversify Your Diversifiers,2026-05-25,world-machine-inbox-source,,,03_Macro_and_Economy/Observations,,,Archived World_Machine inbox source item routed to 03_Macro_and_Economy/Observations.,World_Machine,10_Themes/Macro Regime and Economic Data/Updated Bond View – Time to Opportunistically Rotate Cash to Bonds but Diversify Your Diversifiers.md,obsidian://open?vault=World_Machine&file=10_Themes%2FMacro%20Regime%20and%20Economic%20Data%2FUpdated%20Bond%20View%20%E2%80%93%20Time%20to%20Opportunistically%20Rotate%20Cash%20to%20Bonds%20but%20Diversify%20Your%20Diversifiers.md,,source-item;world-machine-inbox
source:10-themes-policy-regulation-and-institutions-the-supreme-court-just-told-every-freight-broker-th,SourceItem,The Supreme Court just told every freight broker that they can be sued,2026-05-25,world-machine-inbox-source,,,03_Macro_and_Economy/Observations,,,Archived World_Machine inbox source item routed to 03_Macro_and_Economy/Observations.,World_Machine,10_Themes/Policy Regulation and Institutions/The Supreme Court just told every freight broker that they can be sued.md,obsidian://open?vault=World_Machine&file=10_Themes%2FPolicy%20Regulation%20and%20Institutions%2FThe%20Supreme%20Court%20just%20told%20every%20freight%20broker%20that%20they%20can%20be%20sued.md,,source-item;world-machine-inbox
source:10-themes-research-learning-and-tools-wealth-is-righteously-earned-and-poverty-is-righteously-di,SourceItem,Wealth is righteously earned and poverty is righteously dispensed,2026-05-25,world-machine-inbox-source,,,03_Macro_and_Economy/Observations,,,Archived World_Machine inbox source item routed to 03_Macro_and_Economy/Observations.,World_Machine,10_Themes/Research Learning and Tools/Wealth is righteously earned and poverty is righteously dispensed.md,obsidian://open?vault=World_Machine&file=10_Themes%2FResearch%20Learning%20and%20Tools%2FWealth%20is%20righteously%20earned%20and%20poverty%20is%20righteously%20dispensed.md,,source-item;world-machine-inbox
source:10-themes-strategy-setups-and-watchpoints-market-mechanics-or-fundamentals-whats-behind-this-ral,SourceItem,Market Mechanics Or Fundamentals_ Whats Behind This Rally_,2026-05-25,world-machine-inbox-source,,,03_Macro_and_Economy/Observations,,,Archived World_Machine inbox source item routed to 03_Macro_and_Economy/Observations.,World_Machine,10_Themes/Strategy Setups and Watchpoints/Market Mechanics Or Fundamentals_ Whats Behind This Rally_.md,obsidian://open?vault=World_Machine&file=10_Themes%2FStrategy%20Setups%20and%20Watchpoints%2FMarket%20Mechanics%20Or%20Fundamentals_%20Whats%20Behind%20This%20Rally_.md,,source-item;world-machine-inbox
source:10-themes-strategy-setups-and-watchpoints-may-18-2026-morning-briefing-md,SourceItem,69cd094e32d30e555ad094efe48a822d1204e4a8.pdf,2026-05-25,world-machine-inbox-source,,,03_Macro_and_Economy/Observations,,,Archived World_Machine inbox source item routed to 03_Macro_and_Economy/Observations.,World_Machine,"10_Themes/Strategy Setups and Watchpoints/May 18, 2026 Morning Briefing.md",obsidian://open?vault=World_Machine&file=10_Themes%2FStrategy%20Setups%20and%20Watchpoints%2FMay%2018%2C%202026%20Morning%20Briefing.md,,source-item;world-machine-inbox
source:10-themes-strategy-setups-and-watchpoints-spotgamma-md,SourceItem,SpotGamma FlowPatrol,2026-05-25,world-machine-inbox-source,,,03_Macro_and_Economy/Observations,,,Archived World_Machine inbox source item routed to 03_Macro_and_Economy/Observations.,World_Machine,10_Themes/Strategy Setups and Watchpoints/SpotGamma.md,obsidian://open?vault=World_Machine&file=10_Themes%2FStrategy%20Setups%20and%20Watchpoints%2FSpotGamma.md,,source-item;world-machine-inbox
