id,source_id,target_id,type,weight,status,summary,command
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:HAS_REVIEW_COMMAND:command:node-run-mjs-pull-event-research-scenario-fertilizer-shortage-dry-run,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,command:node-run-mjs-pull-event-research-scenario-fertilizer-shortage-dry-run,HAS_REVIEW_COMMAND,1,alert,Candidate exposes this dry-run review command.,node run.mjs pull event-research --scenario fertilizer-shortage --dry-run
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:HAS_REVIEW_COMMAND:command:node-run-mjs-pull-event-research-scenario-hormuz-oil-shock-dry-run,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,command:node-run-mjs-pull-event-research-scenario-hormuz-oil-shock-dry-run,HAS_REVIEW_COMMAND,1,alert,Candidate exposes this dry-run review command.,node run.mjs pull event-research --scenario hormuz-oil-shock --dry-run
rel:candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio:HAS_REVIEW_COMMAND:command:node-run-mjs-pull-event-research-scenario-glp1-supply-chain-shortage-dry-run,candidate:2026-05-25-existing-scenario-connection-rates-bonds-inflation-expectatio,command:node-run-mjs-pull-event-research-scenario-glp1-supply-chain-shortage-dry-run,HAS_REVIEW_COMMAND,1,alert,Candidate exposes this dry-run review command.,node run.mjs pull event-research --scenario glp1-supply-chain-shortage --dry-run
rel:candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl:HAS_REVIEW_COMMAND:command:node-run-mjs-pull-event-research-scenario-glp1-supply-chain-shortage-dry-run,candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,command:node-run-mjs-pull-event-research-scenario-glp1-supply-chain-shortage-dry-run,HAS_REVIEW_COMMAND,1,alert,Candidate exposes this dry-run review command.,node run.mjs pull event-research --scenario glp1-supply-chain-shortage --dry-run
rel:candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl:HAS_REVIEW_COMMAND:command:node-run-mjs-scan-sectors-sector-healthcare-dry-run,candidate:2026-05-25-existing-scenario-connection-healthcare-pricing-and-policy-gl,command:node-run-mjs-scan-sectors-sector-healthcare-dry-run,HAS_REVIEW_COMMAND,1,alert,Candidate exposes this dry-run review command.,node run.mjs scan sectors --sector healthcare --dry-run
rel:candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d:HAS_REVIEW_COMMAND:command:node-run-mjs-pull-event-research-scenario-ai-data-center-power-bottleneck-dry-run,candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d,command:node-run-mjs-pull-event-research-scenario-ai-data-center-power-bottleneck-dry-run,HAS_REVIEW_COMMAND,1,alert,Candidate exposes this dry-run review command.,node run.mjs pull event-research --scenario ai-data-center-power-bottleneck --dry-run
rel:candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d:HAS_REVIEW_COMMAND:command:node-run-mjs-pull-event-research-scenario-copper-supply-bottleneck-dry-run,candidate:2026-05-25-existing-scenario-connection-power-grid-industrial-capex-ai-d,command:node-run-mjs-pull-event-research-scenario-copper-supply-bottleneck-dry-run,HAS_REVIEW_COMMAND,1,alert,Candidate exposes this dry-run review command.,node run.mjs pull event-research --scenario copper-supply-bottleneck --dry-run
rel:candidate:2026-05-25-emerging-event-candidate-socioeconomic-narrative-risk:HAS_REVIEW_COMMAND:command:node-run-mjs-pull-signal-intelligence-scope-all-dry-run,candidate:2026-05-25-emerging-event-candidate-socioeconomic-narrative-risk,command:node-run-mjs-pull-signal-intelligence-scope-all-dry-run,HAS_REVIEW_COMMAND,1,watch,Candidate exposes this dry-run review command.,node run.mjs pull signal-intelligence --scope all --dry-run
rel:candidate:2026-05-25-existing-scenario-connection-market-structure-vs-fundamentals:HAS_REVIEW_COMMAND:command:node-run-mjs-pull-event-research-scenario-ai-data-center-power-bottleneck-dry-run,candidate:2026-05-25-existing-scenario-connection-market-structure-vs-fundamentals,command:node-run-mjs-pull-event-research-scenario-ai-data-center-power-bottleneck-dry-run,HAS_REVIEW_COMMAND,1,watch,Candidate exposes this dry-run review command.,node run.mjs pull event-research --scenario ai-data-center-power-bottleneck --dry-run
rel:candidate:2026-05-25-existing-scenario-connection-market-structure-vs-fundamentals:HAS_REVIEW_COMMAND:command:node-run-mjs-pull-event-research-scenario-copper-supply-bottleneck-dry-run,candidate:2026-05-25-existing-scenario-connection-market-structure-vs-fundamentals,command:node-run-mjs-pull-event-research-scenario-copper-supply-bottleneck-dry-run,HAS_REVIEW_COMMAND,1,watch,Candidate exposes this dry-run review command.,node run.mjs pull event-research --scenario copper-supply-bottleneck --dry-run
rel:candidate:2026-05-25-existing-scenario-connection-policy-legal-friction-hormuz-oil:HAS_REVIEW_COMMAND:command:node-run-mjs-pull-event-research-scenario-hormuz-oil-shock-dry-run,candidate:2026-05-25-existing-scenario-connection-policy-legal-friction-hormuz-oil,command:node-run-mjs-pull-event-research-scenario-hormuz-oil-shock-dry-run,HAS_REVIEW_COMMAND,1,watch,Candidate exposes this dry-run review command.,node run.mjs pull event-research --scenario hormuz-oil-shock --dry-run
