record_type,module_id,module_title,gate,field_key,field_label,required,guidance,primary_value,secondary_value,status,confidence,source_title,source_reference,evidence_span_or_page,counterevidence,publisher,document_type,publication_date,reporting_period,retrieved_at,source_priority,license_class,redistribution_allowed,freshness,metric_value,metric_unit,formula_or_inputs,assumption_range,rubric_proven,rubric_perpetuating,rubric_durable,capability_status,catalyst_direction,probability,timing,market_awareness,company_control,approval_decision,reviewer,notes
instructions,,,,,,no,"Complete primary_value for research and module rows. Add more evidence, metric, assumption, capability, and catalyst rows as needed. Keep one fact or judgment per row. Dates use YYYY-MM-DD. Rubric values: insufficient | weak | moderate | strong.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Licensed material remains private and non-redistributable unless its license explicitly permits redistribution.
research_metadata,,,,company_name,Company legal name,yes,Exact legal or reported company name.,EchoStar Corporation,,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,ticker,Ticker,yes,Primary listed ticker.,ECHO,,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,exchange,Exchange,yes,Primary listing exchange.,Nasdaq Global Select Market,,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,currency,Reporting currency,yes,"ISO currency code, for example USD.",USD,,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,sector,Sector,yes,Company sector.,Communication Services,,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,industry,Industry,yes,Company industry.,"Diversified telecommunications: pay-TV, wireless MVNO, satellite broadband and network services",,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,research_objective,Research objective,yes,Decision this work should make easier.,"Decide whether ECHO offers a sufficiently verifiable margin of safety after the AT&T spectrum closing, DISH restructuring and pending SpaceX consideration.",,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,holding_period,Holding period,yes,"Days, weeks, months, one to three years, or more than three years.","One to three years, aligned with the targeted November 30, 2027 SpaceX acquisition closing and post-restructuring reporting.",,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,purpose,Purpose,yes,"Long-term investment, earnings trade, event-driven trade, momentum trade, hedge, income, or education only.",Event-driven equity research; education only until post-close net asset value is auditable.,,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,maximum_capital_at_risk,Maximum capital at risk,yes,Dollar or percentage limit; use No position when appropriate.,No position pending a post-AT&T-close balance sheet and court-confirmed restructuring plan.,,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,maximum_acceptable_loss,Maximum acceptable loss,yes,Dollar or percentage limit; use No position when appropriate.,No position; risk limit cannot be set responsibly before pro forma net obligations are disclosed.,,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,allowed_instruments,Allowed instruments,yes,Default to no-position until instruments are explicitly reviewed.,"No position. If later approved after review: common equity only; no options, leverage or shorting.",,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,starting_thesis,Starting thesis,yes,Current belief before evidence review.,"ECHO is now an event-driven sum-of-the-parts vehicle: legacy subscription businesses fund operations while spectrum sales, debt retirement and prospective SpaceX equity determine most residual equity value.",,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,thesis_breaker,Known thesis-breaker,yes,Evidence that would force a complete rethink.,"A credible post-close bridge showing that debt, escrow, taxes, restructuring claims and operating liabilities consume the AT&T proceeds and most SpaceX consideration, leaving little residual value per share.",,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,0,Research intake,H0,objective,Research objective,yes,What decision should this research make easier?,"Decide whether ECHO offers a sufficiently verifiable margin of safety after the AT&T spectrum closing, DISH restructuring and pending SpaceX consideration.",,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,0,Research intake,H0,known_thesis,Starting thesis,yes,"What do you currently believe, if anything?","ECHO is now an event-driven sum-of-the-parts vehicle: legacy subscription businesses fund operations while spectrum sales, debt retirement and prospective SpaceX equity determine most residual equity value.",,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,0,Research intake,H0,thesis_breaker,Known thesis-breaker,yes,What evidence would force a complete rethink?,"A credible post-close bridge showing that debt, escrow, taxes, restructuring claims and operating liabilities consume the AT&T proceeds and most SpaceX consideration, leaving little residual value per share.",,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,1,Company in plain English,H1,kid_explanation,Kid-level explanation,yes,"Explain what it sells, who pays, and why in five sentences or fewer.","EchoStar sells TV, mobile-phone and satellite-internet services. Customers pay monthly bills under DISH TV, Sling TV, Boost Mobile and Hughes brands. Its old wireless network did not become the business management hoped for, so EchoStar sold major spectrum licenses to AT&T and SpaceX. The AT&T sale closed for about $23 billion, while the SpaceX deal is expected to pay mostly after debt is retired, with the acquisition closing targeted for late 2027. The stock is therefore a bet on what remains after debts, claims and transaction obligations—not just on subscriber growth.",,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,1,Company in plain English,H1,positive_description,Blunt positive description,yes,Why could customers keep choosing it?,"A rare portfolio of spectrum and communications assets has already attracted counterparties willing to pay more than $40 billion in aggregate transaction value, while Pay-TV and Hughes still generate positive segment OIBDA.",,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,1,Company in plain English,H1,negative_description,Blunt negative description,yes,What is the least flattering accurate description?,"A highly leveraged collection of shrinking legacy subscriber businesses that spent more than $30 billion on wireless spectrum, shut down its facilities-based 5G network, put key subsidiaries into Chapter 11 and now depends on asset-sale proceeds and a private-company stake to create equity value.",,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,2,Real economic engine,H1,economic_engine,Actual economic engine,yes,"This is actually a [business type] powered by [engine], not merely a [narrative] company.","This is actually a cash-harvest subscription and spectrum-monetization vehicle powered by Pay-TV cash flow, Hughes satellite capabilities and asset sales—not a proven high-growth space or wireless operator.",,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,2,Real economic engine,H1,profit_source,Largest profit source,yes,"Which product, segment, or transaction produces the profit?","Pay-TV is the largest current profit source: Q1 2026 produced $471.6 million of segment operating income and $527.4 million of OIBDA, far above the other operating segments.",,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,2,Real economic engine,H1,external_dependency,Largest outside dependency,yes,What matters most that management cannot control?,"The largest outside dependency is transaction and capital-structure execution: bankruptcy-court outcomes, creditor claims, the value and timing of SpaceX consideration, and network/programming costs management cannot fully control.",,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,3,Price expectations,H2,valuation_expectations,What the price assumes,yes,"State the growth, margin, share, and execution assumptions required by the current price.","At the latest verified $86.69 quote and 289.8 million shares, equity value is about $25.1 billion. That price appears to assume the $23 billion AT&T sale largely converts into debt/claim reduction, the approximately $20 billion SpaceX transaction closes near contracted value, and the remaining Pay-TV, Boost, Hughes and investment operations retain meaningful value. Conventional growth and margin assumptions are secondary until a post-close pro forma balance sheet exists.",,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,3,Price expectations,H2,peer_group,Peer group,yes,"Which businesses are truly comparable, and where are they not?","There is no clean consolidated peer. Viasat is relevant to satellite broadband; Comcast/Charter and private DIRECTV inform video economics; Verizon, AT&T and T-Mobile show wireless economics but have incomparable scale; listed asset-holding and special-situation companies are more relevant to valuation mechanics than telecom trading multiples.",,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,3,Price expectations,H2,no_moonshot_value,No-moonshot case,yes,What remains if the most exciting future product receives zero value?,"Assigning zero value to a future SpaceX upside re-rating leaves the AT&T cash proceeds plus declining but cash-generating Pay-TV/Hughes operations, offset by roughly $24.3 billion of March debt, a $2.4 billion escrow, restructuring claims, taxes and other liabilities. Without a post-close bridge, that residual cannot be established as a safe floor.",,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,4,Capability and moat,H3,primary_capability,Most important capability,yes,"What useful asset, process, relationship, skill, resource, or system has the company built?","EchoStar's strongest demonstrated capability is acquiring, developing and monetizing scarce regulated communications assets, supported by Hughes satellite engineering and long-lived distribution brands.",,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
module_response,4,Capability and moat,H3,moat_summary,Moat conclusion,yes,"Is it a claim, capability, trajectory, proven moat, eroding moat, or no moat? Why?","Capability, not a clean corporate moat. Hughes engineering and spectrum/regulatory know-how are real, but much of the scarce spectrum is being sold, Pay-TV is eroding, Boost lacks scale economics, and the 5G build was abandoned. Remaining durable advantage is narrower than the headline asset value suggests.",,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
