record_type,module_id,module_title,gate,field_key,field_label,required,guidance,primary_value,secondary_value,status,confidence,source_title,source_reference,evidence_span_or_page,counterevidence,publisher,document_type,publication_date,reporting_period,retrieved_at,source_priority,license_class,redistribution_allowed,freshness,metric_value,metric_unit,formula_or_inputs,assumption_range,rubric_proven,rubric_perpetuating,rubric_durable,capability_status,catalyst_direction,probability,timing,market_awareness,company_control,approval_decision,reviewer,notes
instructions,,,,,,no,"Complete primary_value for research and module rows. Add more evidence, metric, assumption, capability, and catalyst rows as needed. Keep one fact or judgment per row. Dates use YYYY-MM-DD. Rubric values: insufficient | weak | moderate | strong.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Licensed material remains private and non-redistributable unless its license explicitly permits redistribution.
research_metadata,,,,company_name,Company legal name,yes,Exact legal or reported company name.,Lam Research Corporation,,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,ticker,Ticker,yes,Primary listed ticker.,LRCX,,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,exchange,Exchange,yes,Primary listing exchange.,Nasdaq Global Select Market,,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,currency,Reporting currency,yes,"ISO currency code, for example USD.",USD,,completed,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,sector,Sector,yes,Company sector.,Information Technology,,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,industry,Industry,yes,Company industry.,"Semiconductor wafer-fabrication equipment: deposition, etch, clean and installed-base services",,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,research_objective,Research objective,yes,Decision this work should make easier.,Determine whether Lam Research's proven semiconductor-process moat and AI-driven growth justify the market's unusually high cash-flow and earnings multiples.,,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,holding_period,Holding period,yes,"Days, weeks, months, one to three years, or more than three years.","Three to five years, with checkpoints at September-quarter results, CY2027 WFE expectations and export-control developments.",,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,purpose,Purpose,yes,"Long-term investment, earnings trade, event-driven trade, momentum trade, hedge, income, or education only.",Long-term quality-growth research; no position until valuation or earnings expectations offer a wider margin of safety.,,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,maximum_capital_at_risk,Maximum capital at risk,yes,Dollar or percentage limit; use No position when appropriate.,"No position pending human review; if later approved, begin with a small unlevered common-equity allocation.",,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,maximum_acceptable_loss,Maximum acceptable loss,yes,Dollar or percentage limit; use No position when appropriate.,No position. A future allocation should be sized so a 30% drawdown from semiconductor-cycle or multiple compression remains tolerable.,,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,allowed_instruments,Allowed instruments,yes,Default to no-position until instruments are explicitly reviewed.,"Common equity only after approval; no options, leverage, shorting or event-driven trade.",,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
research_metadata,,,,starting_thesis,Starting thesis,yes,Current belief before evidence review.,"Lam is a leading etch, deposition and clean platform whose process know-how, installed base and customer co-development should compound through AI-related memory, foundry, packaging and service demand, but the current valuation discounts substantial future success.",,completed,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
