id:ID,asOfDate,canonicalName,dataType,date,datePulled,domain,label,lastUpdated,name,nodeType,obsidianUrl,relativePath,signalStatus,source,sourceFolder,sourcePath,sourceVault,source_folder,source_path,source_rel_path,source_url,source_vault,status,subdomain,summary,tags,vault,:LABEL
world:evidenceartifact:2026-05-14-eod-vault-state-report,2026-06-01,2026-05-14 - EOD Vault State Report,report,2026-05-14,,Reports,2026-05-14 - EOD Vault State Report,,2026-05-14 - EOD Vault State Report,evidenceartifact,obsidian://open?vault=World_Machine&file=Reports%2FEOD%2F2026-05-14%20-%20EOD%20Vault%20State%20Report.md,Reports/EOD/2026-05-14 - EOD Vault State Report.md,alert,,Reports,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\EOD\2026-05-14 - EOD Vault State Report.md,World_Machine,Reports,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\EOD\2026-05-14 - EOD Vault State Report.md,Reports/EOD/2026-05-14 - EOD Vault State Report.md,obsidian://open?vault=World_Machine&file=Reports%2FEOD%2F2026-05-14%20-%20EOD%20Vault%20State%20Report.md,World_Machine,active,EOD,,"[""report"",""eod"",""vault-state"",""macro"",""strategy"",""detective-brief""]",World_Machine,EvidenceArtifact
world:evidenceartifact:2026-05-15-daily-monitoring-snapshot,2026-06-01,Daily Monitoring Snapshot - 2026-05-15,monitoring_snapshot,,2026-05-15,Reports,Daily Monitoring Snapshot - 2026-05-15,,Daily Monitoring Snapshot - 2026-05-15,evidenceartifact,obsidian://open?vault=World_Machine&file=Reports%2FDaily%2FMonitoring%2F2026-05-15%20Daily%20Monitoring%20Snapshot.md,Reports/Daily/Monitoring/2026-05-15 Daily Monitoring Snapshot.md,,World Machine Review Flow,Reports,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\Daily\Monitoring\2026-05-15 Daily Monitoring Snapshot.md,World_Machine,Reports,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\Daily\Monitoring\2026-05-15 Daily Monitoring Snapshot.md,Reports/Daily/Monitoring/2026-05-15 Daily Monitoring Snapshot.md,obsidian://open?vault=World_Machine&file=Reports%2FDaily%2FMonitoring%2F2026-05-15%20Daily%20Monitoring%20Snapshot.md,World_Machine,,Daily,,"[""world-machine-review"",""monitoring_snapshot"",""daily""]",World_Machine,EvidenceArtifact
world:evidenceartifact:2026-05-15-end-of-day-briefing,2026-06-01,End Of Day Briefing - 2026-05-15,briefing,,2026-05-15,Reports,End Of Day Briefing - 2026-05-15,,End Of Day Briefing - 2026-05-15,evidenceartifact,obsidian://open?vault=World_Machine&file=Reports%2FEOD%2FBriefings%2F2026-05-15%20End%20Of%20Day%20Briefing.md,Reports/EOD/Briefings/2026-05-15 End Of Day Briefing.md,,World Machine Review Flow,Reports,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\EOD\Briefings\2026-05-15 End Of Day Briefing.md,World_Machine,Reports,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\EOD\Briefings\2026-05-15 End Of Day Briefing.md,Reports/EOD/Briefings/2026-05-15 End Of Day Briefing.md,obsidian://open?vault=World_Machine&file=Reports%2FEOD%2FBriefings%2F2026-05-15%20End%20Of%20Day%20Briefing.md,World_Machine,,EOD,,"[""world-machine-review"",""briefing"",""endofday""]",World_Machine,EvidenceArtifact
world:evidenceartifact:2026-05-15-end-of-day-monitoring-snapshot,2026-06-01,End Of Day Monitoring Snapshot - 2026-05-15,monitoring_snapshot,,2026-05-15,Reports,End Of Day Monitoring Snapshot - 2026-05-15,,End Of Day Monitoring Snapshot - 2026-05-15,evidenceartifact,obsidian://open?vault=World_Machine&file=Reports%2FEOD%2FMonitoring%2F2026-05-15%20End%20Of%20Day%20Monitoring%20Snapshot.md,Reports/EOD/Monitoring/2026-05-15 End Of Day Monitoring Snapshot.md,,World Machine Review Flow,Reports,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\EOD\Monitoring\2026-05-15 End Of Day Monitoring Snapshot.md,World_Machine,Reports,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\EOD\Monitoring\2026-05-15 End Of Day Monitoring Snapshot.md,Reports/EOD/Monitoring/2026-05-15 End Of Day Monitoring Snapshot.md,obsidian://open?vault=World_Machine&file=Reports%2FEOD%2FMonitoring%2F2026-05-15%20End%20Of%20Day%20Monitoring%20Snapshot.md,World_Machine,,EOD,,"[""world-machine-review"",""monitoring_snapshot"",""endofday""]",World_Machine,EvidenceArtifact
world:evidenceartifact:2026-05-15-eod-digest,2026-06-01,2026-05-15_EOD_Digest,eod_digest,2026-05-15,,Reports,2026-05-15_EOD_Digest,,2026-05-15_EOD_Digest,evidenceartifact,obsidian://open?vault=World_Machine&file=Reports%2FEOD%2FBriefings%2F2026-05-15_EOD_Digest.md,Reports/EOD/Briefings/2026-05-15_EOD_Digest.md,,,Reports,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\EOD\Briefings\2026-05-15_EOD_Digest.md,World_Machine,Reports,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\EOD\Briefings\2026-05-15_EOD_Digest.md,Reports/EOD/Briefings/2026-05-15_EOD_Digest.md,obsidian://open?vault=World_Machine&file=Reports%2FEOD%2FBriefings%2F2026-05-15_EOD_Digest.md,World_Machine,,EOD,,[],World_Machine,EvidenceArtifact
world:evidenceartifact:2026-05-15-midday-monitoring-snapshot,2026-06-01,Midday Monitoring Snapshot - 2026-05-15,monitoring_snapshot,,2026-05-15,Reports,Midday Monitoring Snapshot - 2026-05-15,,Midday Monitoring Snapshot - 2026-05-15,evidenceartifact,obsidian://open?vault=World_Machine&file=Reports%2FMidday%2FMonitoring%2F2026-05-15%20Midday%20Monitoring%20Snapshot.md,Reports/Midday/Monitoring/2026-05-15 Midday Monitoring Snapshot.md,,World Machine Review Flow,Reports,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\Midday\Monitoring\2026-05-15 Midday Monitoring Snapshot.md,World_Machine,Reports,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\Midday\Monitoring\2026-05-15 Midday Monitoring Snapshot.md,Reports/Midday/Monitoring/2026-05-15 Midday Monitoring Snapshot.md,obsidian://open?vault=World_Machine&file=Reports%2FMidday%2FMonitoring%2F2026-05-15%20Midday%20Monitoring%20Snapshot.md,World_Machine,,Midday,,"[""world-machine-review"",""monitoring_snapshot"",""midday""]",World_Machine,EvidenceArtifact
world:evidenceartifact:2026-05-15-preclose-monitoring-snapshot,2026-06-01,Preclose Monitoring Snapshot - 2026-05-15,monitoring_snapshot,,2026-05-15,Reports,Preclose Monitoring Snapshot - 2026-05-15,,Preclose Monitoring Snapshot - 2026-05-15,evidenceartifact,obsidian://open?vault=World_Machine&file=Reports%2FPreclose%2FMonitoring%2F2026-05-15%20Preclose%20Monitoring%20Snapshot.md,Reports/Preclose/Monitoring/2026-05-15 Preclose Monitoring Snapshot.md,,World Machine Review Flow,Reports,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\Preclose\Monitoring\2026-05-15 Preclose Monitoring Snapshot.md,World_Machine,Reports,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\Preclose\Monitoring\2026-05-15 Preclose Monitoring Snapshot.md,Reports/Preclose/Monitoring/2026-05-15 Preclose Monitoring Snapshot.md,obsidian://open?vault=World_Machine&file=Reports%2FPreclose%2FMonitoring%2F2026-05-15%20Preclose%20Monitoring%20Snapshot.md,World_Machine,,Preclose,,"[""world-machine-review"",""monitoring_snapshot"",""preclose""]",World_Machine,EvidenceArtifact
world:evidenceartifact:2026-05-15-premarket-monitoring-snapshot,2026-06-01,Premarket Monitoring Snapshot - 2026-05-15,monitoring_snapshot,,2026-05-15,Reports,Premarket Monitoring Snapshot - 2026-05-15,,Premarket Monitoring Snapshot - 2026-05-15,evidenceartifact,obsidian://open?vault=World_Machine&file=Reports%2FPremarket%2FMonitoring%2F2026-05-15%20Premarket%20Monitoring%20Snapshot.md,Reports/Premarket/Monitoring/2026-05-15 Premarket Monitoring Snapshot.md,,World Machine Review Flow,Reports,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\Premarket\Monitoring\2026-05-15 Premarket Monitoring Snapshot.md,World_Machine,Reports,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\Premarket\Monitoring\2026-05-15 Premarket Monitoring Snapshot.md,Reports/Premarket/Monitoring/2026-05-15 Premarket Monitoring Snapshot.md,obsidian://open?vault=World_Machine&file=Reports%2FPremarket%2FMonitoring%2F2026-05-15%20Premarket%20Monitoring%20Snapshot.md,World_Machine,,Premarket,,"[""world-machine-review"",""monitoring_snapshot"",""premarket""]",World_Machine,EvidenceArtifact
world:evidenceartifact:2026-05-16-18-50,2026-06-01,2026-05-16_18-50,run_summary,2026-05-16,,Reports,2026-05-16_18-50,,2026-05-16_18-50,evidenceartifact,obsidian://open?vault=World_Machine&file=Reports%2FSystem%2Frun_summaries%2F2026-05-16_18-50.md,Reports/System/run_summaries/2026-05-16_18-50.md,,,Reports,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\System\run_summaries\2026-05-16_18-50.md,World_Machine,Reports,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\System\run_summaries\2026-05-16_18-50.md,Reports/System/run_summaries/2026-05-16_18-50.md,obsidian://open?vault=World_Machine&file=Reports%2FSystem%2Frun_summaries%2F2026-05-16_18-50.md,World_Machine,,System,,[],World_Machine,EvidenceArtifact
world:evidenceartifact:2026-05-16-daily-monitoring-snapshot,2026-06-01,Daily Monitoring Snapshot - 2026-05-16,monitoring_snapshot,,2026-05-16,Reports,Daily Monitoring Snapshot - 2026-05-16,,Daily Monitoring Snapshot - 2026-05-16,evidenceartifact,obsidian://open?vault=World_Machine&file=Reports%2FDaily%2FMonitoring%2F2026-05-16%20Daily%20Monitoring%20Snapshot.md,Reports/Daily/Monitoring/2026-05-16 Daily Monitoring Snapshot.md,,World Machine Review Flow,Reports,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\Daily\Monitoring\2026-05-16 Daily Monitoring Snapshot.md,World_Machine,Reports,C:\Users\CaveUser\Documents\Obsidian Vault\World_Machine\Reports\Daily\Monitoring\2026-05-16 Daily Monitoring Snapshot.md,Reports/Daily/Monitoring/2026-05-16 Daily Monitoring Snapshot.md,obsidian://open?vault=World_Machine&file=Reports%2FDaily%2FMonitoring%2F2026-05-16%20Daily%20Monitoring%20Snapshot.md,World_Machine,,Daily,,"[""world-machine-review"",""monitoring_snapshot"",""daily""]",World_Machine,EvidenceArtifact
