:START_ID,:END_ID,:TYPE
world:event-trend:2026-06-02:rates-bonds-and-inflation-expectations,candidate:world-inbox:bcbc3e1440f31063,PROPOSED_BY
world:event-trend:2026-06-02:healthcare-pricing-and-policy-pressure,candidate:world-inbox:d771aecc85bc85d7,PROPOSED_BY
world:event-trend:2026-06-02:power-grid-and-industrial-capex,candidate:world-inbox:a4105ac57b0694e7,PROPOSED_BY
world:event-trend:2026-06-02:policy-legal-and-liability-friction,candidate:world-inbox:a42784534701a093,PROPOSED_BY
world:event-trend:2026-06-02:market-structure-vs-fundamentals,candidate:world-inbox:77c9feb7542f151c,PROPOSED_BY
world:event-trend:2026-06-02:geopolitics-and-capital-access,candidate:world-inbox:8f04112c50b3e940,PROPOSED_BY
world:event-trend:2026-06-02:socioeconomic-narrative-risk,candidate:world-inbox:62fa5ac724f388ee,PROPOSED_BY
world:event-trend:2026-06-02:23a56500bbff911f:71b8dda4d0e437e5,candidate:world-inbox:afd4510eded9081c,PROPOSED_BY
world:event-trend:2026-06-02:23a56500bbff911f:6b585733335bbc3a,candidate:world-inbox:69179791a6c0cc99,PROPOSED_BY
world:event-trend:2026-06-02:23a56500bbff911f:3427d547732913c7,candidate:world-inbox:dffd48ffaaa2ddda,PROPOSED_BY
world:event-trend:2026-06-02:23a56500bbff911f:1ce68b25f99d8f24,candidate:world-inbox:4065482f7cb82911,PROPOSED_BY
world:event-trend:2026-06-02:23a56500bbff911f:3b794f2d1b3ed728,candidate:world-inbox:d9c28e8a5c809ce5,PROPOSED_BY
world:event-trend:2026-06-02:23a56500bbff911f:eb17c4b4e0e0a225,candidate:world-inbox:4a3753ebbfbf166e,PROPOSED_BY
world:event-trend:2026-06-02:23a56500bbff911f:775692a67f475d2d,candidate:world-inbox:937de3bdfef9729a,PROPOSED_BY
risk-theme:commodity-inflation,candidate:scenario-exposure:scenario-2026-leverage-oil-fed-policy-fragility:risk-theme-commodity-inflation:world-regime-iran-hormuz-oil-shock,PROPOSED_BY
risk-theme:commodity-inflation,candidate:scenario-exposure:scenario-2026-leverage-oil-fed-policy-fragility:risk-theme-commodity-inflation:world-regime-ai-growth-offset-vs-energy-shock,PROPOSED_BY
world:regime:risk-off,rel:world-regime-risk-off:CANDIDATE_LINK:world-stock-pdfs,PROPOSED_BY
risk-theme:commodity-inflation,candidate:scenario-exposure:scenario-2026-leverage-oil-fed-policy-fragility:risk-theme-commodity-inflation:world-regime-2026-05-12-inflation-and-breadth-regime-watchpoints,PROPOSED_BY
risk-theme:commodity-inflation,candidate:scenario-exposure:scenario-2026-leverage-oil-fed-policy-fragility:risk-theme-commodity-inflation:world-macroindicator-2026-05-12-iran-inflation-cpi-and-market-breadth,PROPOSED_BY
risk-theme:commodity-inflation,candidate:scenario-exposure:scenario-2026-leverage-oil-fed-policy-fragility:risk-theme-commodity-inflation:world-regime-2026-05-14-sticky-inflation-regime-ppi-retail-sales-and-treasury-premium,PROPOSED_BY
risk-theme:commodity-inflation,candidate:scenario-exposure:scenario-2026-leverage-oil-fed-policy-fragility:risk-theme-commodity-inflation:world-regime-2026-05-26-macro-regime-research-and-inflation-inbox-synthesis,PROPOSED_BY
risk-theme:commodity-inflation,candidate:scenario-exposure:scenario-2026-leverage-oil-fed-policy-fragility:risk-theme-commodity-inflation:world-sector-agriculture-forestry-fishing-and-hunting,PROPOSED_BY
risk-theme:commodity-inflation,candidate:scenario-exposure:scenario-2026-leverage-oil-fed-policy-fragility:risk-theme-commodity-inflation:world-macroindicator-cpi-inflation,PROPOSED_BY
risk-theme:commodity-inflation,candidate:scenario-exposure:scenario-2026-leverage-oil-fed-policy-fragility:risk-theme-commodity-inflation:world-macroindicator-ovx,PROPOSED_BY
risk-theme:commodity-inflation,candidate:scenario-exposure:scenario-2026-leverage-oil-fed-policy-fragility:risk-theme-commodity-inflation:world-macroindicator-cpi,PROPOSED_BY
risk-theme:commodity-inflation,candidate:scenario-exposure:scenario-2026-leverage-oil-fed-policy-fragility:risk-theme-commodity-inflation:world-commodity-copper,PROPOSED_BY
risk-theme:commodity-inflation,candidate:scenario-exposure:scenario-2026-leverage-oil-fed-policy-fragility:risk-theme-commodity-inflation:world-macroindicator-core-pce,PROPOSED_BY
risk-theme:commodity-inflation,candidate:scenario-exposure:scenario-2026-leverage-oil-fed-policy-fragility:risk-theme-commodity-inflation:world-commodity-gold,PROPOSED_BY
risk-theme:commodity-inflation,candidate:scenario-exposure:scenario-2026-leverage-oil-fed-policy-fragility:risk-theme-commodity-inflation:world-macroindicator-inflation-breakeven-signals,PROPOSED_BY
risk-theme:commodity-inflation,candidate:scenario-exposure:scenario-2026-leverage-oil-fed-policy-fragility:risk-theme-commodity-inflation:world-regime-inflationary-boom,PROPOSED_BY
risk-theme:commodity-inflation,candidate:scenario-exposure:scenario-2026-leverage-oil-fed-policy-fragility:risk-theme-commodity-inflation:world-macroindicator-labor-market-sweet-spot,PROPOSED_BY
world:regime:geopolitical-escalation,rel:world-regime-geopolitical-escalation:CANDIDATE_LINK:world-stock-tsla,PROPOSED_BY
risk-theme:commodity-inflation,candidate:scenario-exposure:scenario-2026-leverage-oil-fed-policy-fragility:risk-theme-commodity-inflation:world-commodity-lithium,PROPOSED_BY
risk-theme:commodity-inflation,candidate:scenario-exposure:scenario-2026-leverage-oil-fed-policy-fragility:risk-theme-commodity-inflation:world-commodity-natural-gas,PROPOSED_BY
risk-theme:commodity-inflation,candidate:scenario-exposure:scenario-2026-leverage-oil-fed-policy-fragility:risk-theme-commodity-inflation:world-commodity-oil,PROPOSED_BY
risk-theme:commodity-inflation,candidate:scenario-exposure:scenario-2026-leverage-oil-fed-policy-fragility:risk-theme-commodity-inflation:world-macroindicator-ppi,PROPOSED_BY
world:regime:risk-on,rel:world-regime-risk-on:CANDIDATE_LINK:world-stock-pltr,PROPOSED_BY
risk-theme:commodity-inflation,candidate:scenario-exposure:scenario-2026-leverage-oil-fed-policy-fragility:risk-theme-commodity-inflation:world-commodity-silver,PROPOSED_BY
risk-theme:commodity-inflation,candidate:scenario-exposure:scenario-2026-leverage-oil-fed-policy-fragility:risk-theme-commodity-inflation:world-commodity-wheat,PROPOSED_BY
world:regime:risk-on,rel:world-regime-risk-on:CANDIDATE_LINK:world-stock-len,PROPOSED_BY
world:regime:recession,rel:world-regime-recession:CANDIDATE_LINK:world-stock-axp,PROPOSED_BY
world:regime:rate-cut-cycle,rel:world-regime-rate-cut-cycle:CANDIDATE_LINK:world-stock-nvda,PROPOSED_BY
world:regime:risk-on,rel:world-regime-risk-on:CANDIDATE_LINK:world-stock-ceg,PROPOSED_BY
world:regime:goldilocks,rel:world-regime-goldilocks:CANDIDATE_LINK:world-stock-eh,PROPOSED_BY
mydata:thesis:aerospace-defense-sector-basket,rel:mydata-thesis-aerospace-defense-sector-basket:CANDIDATE_LINK:domain-evidence,PROPOSED_BY
